"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.DK.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.DK.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Denmark / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:17,
2009-09,117,
2009-10,116,
2009-11,117,
2009-12,170,
2010-01,186,
2010-02,184,
2010-03,183,
2010-04,208,
2010-05,209,
2010-06,191,
2010-07,194,
2010-08,196,
2010-09,207,
2010-10,208,
2010-11,199,
2010-12,209,
2011-01,199,
2011-02,189,
2011-03,168,
2011-04,178,
2011-05,155,
2011-06,129,
2011-07,152,
2011-08,170,
2011-09,163,
2011-10,166,
2011-11,157,
2011-12,146,
2012-01,139,
2012-02,104,
2012-03,107,
2012-04,109,
2012-05,136,
2012-06,135,
2012-07,137,
2012-08,140,
2012-09,151,
2012-10,150,
2012-11,156,
2012-12,156,
2013-01,144,
2013-02,144,
2013-03,145,
2013-04,146,
2013-05,117,
2013-06,112,
2013-07,113,
2013-08,112,
2013-09,112,
2013-10,113,
2013-11,112,
2013-12,106,
2014-01,108,
2014-02,109,
2014-03,108,
2014-04,106,
2014-05,127,
2014-06,114,
2014-07,112,
2014-08,115,
2014-09,111,
2014-10,97,
2014-11,93,
