"",BBK01.OEAK02K,BBK01.OEAK02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:12,
2002-01,2.091,
2002-04,2.239,
2002-07,2.374,
2002-10,2.442,
2003-01,2.506,
2003-04,2.502,
2003-07,2.477,
2003-10,2.442,
2004-01,2.318,
2004-04,2.647,
2004-07,2.802,
2004-10,2.747,
2005-01,2.898,
2005-04,3.046,
2005-07,3.111,
2005-10,3.211,
2006-01,3.120,
2006-04,3.199,
2006-07,3.086,
2006-10,3.202,
2007-01,3.243,
2007-04,3.483,
2007-07,3.503,
2007-10,3.827,
2008-01,3.501,
2008-04,3.368,
2008-07,3.201,
2008-10,3.380,
2009-01,4.392,
2009-04,4.981,
2009-07,5.182,
2009-10,5.400,
2010-01,5.571,
2010-04,5.790,
2010-07,5.830,
2010-10,6.067,
2011-01,5.942,
2011-04,6.333,
2011-07,5.865,
2011-10,6.089,
2012-01,6.261,
2012-04,6.648,
2012-07,6.602,
2012-10,6.773,
2013-01,7.077,
2013-04,7.341,
2013-07,7.813,
2013-10,8.135,
2014-01,8.361,
2014-04,8.510,
2014-07,8.491,
