"",BBK01.OECB18T,BBK01.OECB18T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:07,
2002-01,0.039,
2002-04,0.041,
2002-07,0.042,
2002-10,0.040,
2003-01,0.038,
2003-04,0.037,
2003-07,0.036,
2003-10,0.035,
2004-01,0.031,
2004-04,0.033,
2004-07,0.032,
2004-10,0.036,
2005-01,0.054,
2005-04,0.058,
2005-07,0.059,
2005-10,0.058,
2006-01,0.059,
2006-04,0.064,
2006-07,0.074,
2006-10,0.066,
2007-01,0.082,
2007-04,0.083,
2007-07,0.054,
2007-10,0.057,
2008-01,0.057,
2008-04,0.057,
2008-07,0.059,
2008-10,0.058,
2009-01,0.060,
2009-04,0.061,
2009-07,0.062,
2009-10,0.058,
2010-01,0.059,
2010-04,0.059,
2010-07,0.059,
2010-10,0.053,
2011-01,0.061,
2011-04,0.061,
2011-07,0.062,
2011-10,0.056,
2012-01,0.056,
2012-04,0.059,
2012-07,0.053,
2012-10,0.053,
2013-01,0.053,
2013-04,0.052,
2013-07,0.053,
2013-10,0.049,
2014-01,0.051,
2014-04,0.050,
2014-07,0.052,
