"",BBK01.OECM04G,BBK01.OECM04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:41,
2002-01,0.622,
2002-04,1.055,
2002-07,0.922,
2002-10,0.862,
2003-01,1.038,
2003-04,1.110,
2003-07,0.795,
2003-10,0.451,
2004-01,0.644,
2004-04,1.043,
2004-07,0.955,
2004-10,0.568,
2005-01,0.591,
2005-04,0.505,
2005-07,0.681,
2005-10,0.548,
2006-01,0.381,
2006-04,0.426,
2006-07,0.287,
2006-10,0.397,
2007-01,0.591,
2007-04,1.051,
2007-07,0.833,
2007-10,0.570,
2008-01,0.488,
2008-04,0.821,
2008-07,0.850,
2008-10,0.847,
2009-01,0.636,
2009-04,0.902,
2009-07,0.714,
2009-10,0.480,
2010-01,0.434,
2010-04,0.522,
2010-07,0.750,
2010-10,0.377,
2011-01,0.343,
2011-04,0.518,
2011-07,0.586,
2011-10,0.654,
2012-01,0.991,
2012-04,1.493,
2012-07,1.477,
2012-10,1.440,
2013-01,1.441,
2013-04,1.602,
2013-07,1.363,
2013-10,1.406,
2014-01,1.280,
2014-04,1.211,
2014-07,1.410,
