"",BBFB1.Q.N.DE.R5.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:41,
1991-01,-68.449,
1991-04,-31.699,
1991-07,-7.504,
1991-10,-40.490,
1992-01,-38.784,
1992-04,-28.240,
1992-07,-81.462,
1992-10,-86.141,
1993-01,-35.932,
1993-04,7.007,
1993-07,19.854,
1993-10,-31.388,
1994-01,-77.056,
1994-04,12.923,
1994-07,-51.521,
1994-10,-121.121,
1995-01,-81.927,
1995-04,-34.576,
1995-07,-79.662,
1995-10,-69.293,
1996-01,-101.762,
1996-04,-25.761,
1996-07,-42.166,
1996-10,-29.625,
1997-01,-152.117,
1997-04,-47.709,
1997-07,-46.799,
1997-10,-52.183,
1998-01,-104.793,
1998-04,-49.896,
1998-07,-24.728,
1998-10,-69.190,
1999-01,-101.196,
1999-04,-56.925,
1999-07,-85.504,
1999-10,-103.040,
2000-01,-113.184,
2000-04,-94.498,
2000-07,-23.866,
2000-10,-131.066,
2001-01,-90.646,
2001-04,-34.271,
2001-07,-170.900,
2001-10,-34.394,
2002-01,-4.509,
2002-04,-35.224,
2002-07,-43.810,
2002-10,-19.966,
2003-01,-139.783,
2003-04,-9.100,
2003-07,5.064,
2003-10,-50.868,
2004-01,-111.458,
2004-04,-32.150,
2004-07,-51.045,
2004-10,-75.299,
2005-01,-85.592,
2005-04,-36.309,
2005-07,-60.762,
2005-10,-80.184,
2006-01,-108.286,
2006-04,-102.821,
2006-07,20.268,
2006-10,-32.244,
2007-01,-69.797,
2007-04,3.720,
2007-07,215.579,
2007-10,97.689,
2008-01,243.381,
2008-04,290.361,
2008-07,236.326,
2008-10,114.089,
2009-01,212.431,
2009-04,370.007,
2009-07,336.915,
2009-10,214.901,
2010-01,19.739,
2010-04,286.882,
2010-07,348.508,
2010-10,177.358,
2011-01,-76.627,
2011-04,128.917,
2011-07,-12.718,
2011-10,-20.015,
2012-01,-142.048,
2012-04,-9.832,
2012-07,-111.130,
2012-10,23.344,
2013-01,-183.891,
2013-04,23.391,
2013-07,235.440,
2013-10,15.660,
2014-01,-108.163,Provisional value
2014-04,110.133,Provisional value
2014-07,62.743,Provisional value
