"",BBK01.CEF090,BBK01.CEF090_FLAGS
"",Total liabilities                                       debtor: Non-MMF investment funds  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:29,
1999-01,604.8,
1999-04,645.3,
1999-07,649.2,
1999-10,758.0,
2000-01,809.1,
2000-04,806.0,
2000-07,836.9,
2000-10,814.9,
2001-01,789.7,
2001-04,807.1,
2001-07,738.1,
2001-10,797.7,
2002-01,810.3,
2002-04,768.8,
2002-07,733.1,
2002-10,746.2,
2003-01,741.9,
2003-04,797.0,
2003-07,812.2,
2003-10,831.5,
2004-01,855.7,
2004-04,852.5,
2004-07,850.7,
2004-10,866.8,
2005-01,888.6,
2005-04,927.0,
2005-07,965.8,
2005-10,980.9,
2006-01,1004.0,
2006-04,985.1,
2006-07,1018.7,
2006-10,1034.2,
2007-01,1051.3,
2007-04,1073.3,
2007-07,1067.8,
2007-10,1060.6,
2008-01,1011.5,
2008-04,1005.2,
2008-07,992.2,
2008-10,943.3,
2009-01,934.4,
2009-04,976.6,
2009-07,1036.2,
2009-10,1060.1,
2010-01,1106.2,
2010-04,1107.5,
2010-07,1151.7,
2010-10,1172.3,
2011-01,1176.0,
2011-04,1180.3,
2011-07,1152.9,
2011-10,1179.5,
2012-01,1238.1,
2012-04,1248.7,
2012-07,1306.8,
2012-10,1350.4,
2013-01,1396.2,
2013-04,1389.5,
2013-07,1428.9,
2013-10,1461.2,
2014-01,1504.6,
2014-04,1555.9,
2014-07,1603.5,
