"",BBK01.OEXJ03H,BBK01.OEXJ03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:35,
2002-01,2.443,
2002-04,2.419,
2002-07,2.694,
2002-10,2.657,
2003-01,2.311,
2003-04,2.436,
2003-07,2.253,
2003-10,2.655,
2004-01,2.206,
2004-04,2.024,
2004-07,2.265,
2004-10,2.746,
2005-01,2.579,
2005-04,2.543,
2005-07,2.775,
2005-10,3.555,
2006-01,3.023,
2006-04,2.770,
2006-07,2.844,
2006-10,2.920,
2007-01,2.763,
2007-04,2.749,
2007-07,3.132,
2007-10,3.111,
2008-01,2.795,
2008-04,3.007,
2008-07,3.265,
2008-10,3.362,
2009-01,3.105,
2009-04,3.080,
2009-07,2.955,
2009-10,3.157,
2010-01,2.690,
2010-04,2.729,
2010-07,3.168,
2010-10,3.401,
2011-01,3.047,
2011-04,3.322,
2011-07,7.175,
2011-10,5.730,
2012-01,4.940,
2012-04,4.927,
2012-07,5.951,
2012-10,7.307,
2013-01,6.790,
2013-04,5.715,
2013-07,5.914,
2013-10,6.169,
2014-01,6.240,
2014-04,6.678,
2014-07,6.851,
