"",BBK01.OEYB04K,BBK01.OEYB04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:56,
2002-01,74.248,
2002-04,73.981,
2002-07,78.600,
2002-10,76.124,
2003-01,75.493,
2003-04,68.825,
2003-07,68.907,
2003-10,68.424,
2004-01,70.055,
2004-04,81.187,
2004-07,81.237,
2004-10,81.726,
2005-01,82.123,
2005-04,84.497,
2005-07,85.008,
2005-10,86.887,
2006-01,88.306,
2006-04,87.902,
2006-07,88.382,
2006-10,86.450,
2007-01,83.142,
2007-04,83.561,
2007-07,82.125,
2007-10,80.661,
2008-01,83.290,
2008-04,83.199,
2008-07,85.747,
2008-10,86.806,
2009-01,86.530,
2009-04,84.996,
2009-07,82.842,
2009-10,73.393,
2010-01,73.385,
2010-04,75.347,
2010-07,78.332,
2010-10,78.853,
2011-01,76.539,
2011-04,75.443,
2011-07,81.953,
2011-10,80.195,
2012-01,78.185,
2012-04,74.012,
2012-07,73.571,
2012-10,64.590,
2013-01,63.601,
2013-04,63.713,
2013-07,62.036,
2013-10,53.694,
2014-01,53.111,
2014-04,53.052,
2014-07,53.108,
