"",BBK01.OELK05N,BBK01.OELK05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:39,
2002-01,0.069,
2002-04,0.066,
2002-07,0.064,
2002-10,0.066,
2003-01,0.065,
2003-04,0.063,
2003-07,0.059,
2003-10,0.057,
2004-01,0.062,
2004-04,0.063,
2004-07,0.060,
2004-10,0.062,
2005-01,0.063,
2005-04,0.066,
2005-07,0.064,
2005-10,0.064,
2006-01,0.062,
2006-04,0.062,
2006-07,0.063,
2006-10,0.060,
2007-01,0.057,
2007-04,0.056,
2007-07,0.052,
2007-10,0.054,
2008-01,0.050,
2008-04,0.046,
2008-07,0.045,
2008-10,0.045,
2009-01,0.049,
2009-04,0.053,
2009-07,0.088,
2009-10,0.102,
2010-01,0.107,
2010-04,0.114,
2010-07,0.118,
2010-10,0.118,
2011-01,0.128,
2011-04,0.135,
2011-07,0.138,
2011-10,0.138,
2012-01,0.138,
2012-04,0.138,
2012-07,0.135,
2012-10,0.142,
2013-01,0.138,
2013-04,0.157,
2013-07,0.153,
2013-10,0.153,
2014-01,0.138,
2014-04,0.137,
2014-07,0.132,
