"",BBK01.OEAL07M,BBK01.OEAL07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:35,
2002-01,48.463,
2002-04,47.658,
2002-07,47.459,
2002-10,48.609,
2003-01,48.841,
2003-04,48.277,
2003-07,48.142,
2003-10,48.912,
2004-01,48.833,
2004-04,48.564,
2004-07,48.183,
2004-10,49.616,
2005-01,52.778,
2005-04,52.389,
2005-07,51.924,
2005-10,52.356,
2006-01,52.137,
2006-04,51.611,
2006-07,50.843,
2006-10,50.740,
2007-01,49.834,
2007-04,48.925,
2007-07,47.881,
2007-10,48.146,
2008-01,47.248,
2008-04,46.593,
2008-07,45.214,
2008-10,46.687,
2009-01,47.093,
2009-04,47.291,
2009-07,47.398,
2009-10,48.251,
2010-01,48.924,
2010-04,49.189,
2010-07,49.118,
2010-10,49.942,
2011-01,50.597,
2011-04,50.452,
2011-07,50.269,
2011-10,50.734,
2012-01,51.044,
2012-04,50.735,
2012-07,50.233,
2012-10,50.404,
2013-01,50.751,
2013-04,50.553,
2013-07,50.303,
2013-10,50.618,
2014-01,50.561,
2014-04,50.256,
2014-07,50.326,
