"",BBK01.OECK01T,BBK01.OECK01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:40,
2002-01,0.192,
2002-04,0.199,
2002-07,0.194,
2002-10,0.202,
2003-01,0.193,
2003-04,0.191,
2003-07,0.193,
2003-10,0.176,
2004-01,0.186,
2004-04,0.184,
2004-07,0.178,
2004-10,0.212,
2005-01,0.215,
2005-04,0.216,
2005-07,0.218,
2005-10,0.236,
2006-01,0.233,
2006-04,0.228,
2006-07,0.236,
2006-10,0.237,
2007-01,0.242,
2007-04,0.255,
2007-07,0.273,
2007-10,0.293,
2008-01,0.295,
2008-04,0.304,
2008-07,0.318,
2008-10,0.363,
2009-01,0.350,
2009-04,0.343,
2009-07,0.326,
2009-10,0.329,
2010-01,0.316,
2010-04,0.322,
2010-07,0.320,
2010-10,0.318,
2011-01,0.310,
2011-04,0.306,
2011-07,0.312,
2011-10,0.351,
2012-01,0.328,
2012-04,0.380,
2012-07,0.429,
2012-10,0.453,
2013-01,0.440,
2013-04,0.443,
2013-07,0.463,
2013-10,0.450,
2014-01,0.443,
2014-04,0.444,
2014-07,0.473,
