"",BBK01.OEAD17M,BBK01.OEAD17M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:13,
2002-01,0.384,
2002-04,0.415,
2002-07,0.429,
2002-10,0.373,
2003-01,0.369,
2003-04,0.381,
2003-07,0.365,
2003-10,0.339,
2004-01,0.350,
2004-04,0.334,
2004-07,0.337,
2004-10,0.279,
2005-01,0.287,
2005-04,0.275,
2005-07,0.284,
2005-10,0.234,
2006-01,0.273,
2006-04,0.297,
2006-07,0.291,
2006-10,0.261,
2007-01,0.355,
2007-04,0.371,
2007-07,0.332,
2007-10,0.298,
2008-01,0.347,
2008-04,0.330,
2008-07,0.272,
2008-10,0.200,
2009-01,0.265,
2009-04,0.256,
2009-07,0.235,
2009-10,0.213,
2010-01,0.244,
2010-04,0.253,
2010-07,0.224,
2010-10,0.168,
2011-01,0.239,
2011-04,0.248,
2011-07,0.289,
2011-10,0.203,
2012-01,0.247,
2012-04,0.264,
2012-07,0.220,
2012-10,0.162,
2013-01,0.172,
2013-04,0.190,
2013-07,0.245,
2013-10,0.159,
2014-01,0.198,
2014-04,0.235,
2014-07,0.221,
