"",BBK01.OEHJ04S,BBK01.OEHJ04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:35,
2002-01,0.283,
2002-04,0.279,
2002-07,0.287,
2002-10,0.297,
2003-01,0.258,
2003-04,0.283,
2003-07,0.292,
2003-10,0.359,
2004-01,0.295,
2004-04,0.290,
2004-07,0.299,
2004-10,0.360,
2005-01,0.306,
2005-04,0.311,
2005-07,0.327,
2005-10,0.319,
2006-01,0.367,
2006-04,0.389,
2006-07,0.394,
2006-10,0.401,
2007-01,0.441,
2007-04,0.478,
2007-07,0.503,
2007-10,0.505,
2008-01,0.537,
2008-04,0.531,
2008-07,0.555,
2008-10,0.487,
2009-01,0.364,
2009-04,0.353,
2009-07,0.294,
2009-10,0.264,
2010-01,0.289,
2010-04,0.308,
2010-07,0.291,
2010-10,0.356,
2011-01,0.352,
2011-04,0.404,
2011-07,0.421,
2011-10,0.387,
2012-01,0.402,
2012-04,0.360,
2012-07,0.337,
2012-10,0.294,
2013-01,0.292,
2013-04,0.303,
2013-07,0.299,
2013-10,0.300,
2014-01,0.327,
2014-04,0.343,
2014-07,0.331,
