"",BBFN1.M.DE.N.1.A.BE.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BE.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Belgium,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:21,
1994-07,2.683,
1994-08,2.753,
1994-09,3.082,
1994-10,3.069,
1994-11,3.094,
1994-12,3.073,
1995-01,2.932,
1995-02,2.958,
1995-03,3.048,
1995-04,3.191,
1995-05,3.302,
1995-06,3.328,
1995-07,3.195,
1995-08,3.226,
1995-09,3.322,
1995-10,3.231,
1995-11,3.285,
1995-12,2.925,
1996-01,2.989,
1996-02,3.175,
1996-03,3.235,
1996-04,3.101,
1996-05,3.113,
1996-06,3.318,
1996-07,2.974,
1996-08,3.060,
1996-09,3.307,
1996-10,3.364,
1996-11,3.504,
1996-12,3.147,
1997-01,3.100,
1997-02,3.265,
1997-03,3.618,
1997-04,3.480,
1997-05,3.650,
1997-06,3.679,
1997-07,3.316,
1997-08,3.310,
1997-09,3.497,
1997-10,3.649,
1997-11,3.836,
1997-12,3.521,
1998-01,3.850,
1998-02,4.159,
1998-03,4.406,
1998-04,4.274,
1998-05,4.382,
1998-06,4.331,
1998-07,4.398,
1998-08,4.247,
1998-09,3.921,
1998-10,4.040,
1998-11,3.970,
1998-12,3.662,
1999-01,3.654,
1999-02,3.804,
1999-03,3.889,
1999-04,3.880,
1999-05,3.809,
1999-06,3.962,
1999-07,3.810,
1999-08,3.751,
1999-09,3.972,
1999-10,3.990,
1999-11,4.103,
1999-12,3.853,
2000-01,3.924,
2000-02,4.137,
2000-03,4.383,
2000-04,4.366,
2000-05,4.443,
2000-06,4.398,
2000-07,4.218,
2000-08,4.301,
2000-09,4.613,
2000-10,4.598,
2000-11,4.673,
2000-12,4.187,
2001-01,4.812,
2001-02,4.557,
2001-03,4.769,
2001-04,4.428,
2001-05,4.549,
2001-06,4.668,
2001-07,4.239,
2001-08,4.250,
2001-09,4.620,
2001-10,4.557,
2001-11,4.719,
2001-12,4.068,
2002-01,4.655,
2002-02,4.586,
2002-03,4.378,
2002-04,4.608,
2002-05,4.303,
2002-06,4.365,
2002-07,4.069,
2002-08,4.048,
2002-09,4.189,
2002-10,4.224,
2002-11,4.239,
2002-12,3.544,
2003-01,4.117,
2003-02,4.007,
2003-03,4.318,
2003-04,4.203,
2003-05,4.314,
2003-06,4.187,
2003-07,3.936,
2003-08,3.939,
2003-09,4.208,
2003-10,4.448,
2003-11,4.630,
2003-12,3.804,
2004-01,4.359,
2004-02,4.375,
2004-03,4.630,
2004-04,4.502,
2004-05,4.599,
2004-06,4.621,
2004-07,4.145,
2004-08,4.280,
2004-09,4.520,
2004-10,4.639,
2004-11,4.874,
2004-12,4.194,
2005-01,4.404,
2005-02,4.701,
2005-03,4.831,
2005-04,4.981,
2005-05,4.721,
2005-06,4.749,
2005-07,4.523,
2005-08,4.492,
2005-09,4.819,
2005-10,4.903,
2005-11,4.737,
2005-12,4.137,
2006-01,4.604,
2006-02,5.171,
2006-03,5.262,
2006-04,5.437,
2006-05,5.022,
2006-06,5.220,
2006-07,4.678,
2006-08,4.529,
2006-09,4.900,
2006-10,5.051,
2006-11,4.943,
2006-12,4.347,
2007-01,4.682,
2007-02,4.827,
2007-03,5.253,
2007-04,5.053,
2007-05,4.857,
2007-06,4.876,
2007-07,4.576,
2007-08,4.548,
2007-09,4.911,
2007-10,4.632,
2007-11,5.004,
2007-12,4.609,
2008-01,4.828,
2008-02,4.866,
2008-03,5.021,
2008-04,4.940,
2008-05,5.019,
2008-06,5.028,
2008-07,4.670,
2008-08,5.017,
2008-09,4.999,
2008-10,5.080,
2008-11,5.138,
2008-12,4.323,
2009-01,4.570,
2009-02,4.226,
2009-03,4.445,
2009-04,4.352,
2009-05,4.313,
2009-06,4.439,
2009-07,3.996,
2009-08,4.145,
2009-09,4.355,
2009-10,4.450,
2009-11,4.562,
2009-12,3.905,
2010-01,4.497,
2010-02,4.525,
2010-03,4.581,
2010-04,4.416,
2010-05,4.493,
2010-06,4.767,
2010-07,4.610,
2010-08,4.450,
2010-09,4.770,
2010-10,5.065,
2010-11,4.734,
2010-12,4.307,
2011-01,4.740,
2011-02,5.219,
2011-03,5.267,
2011-04,5.313,
2011-05,5.072,
2011-06,5.219,
2011-07,5.030,
2011-08,4.623,
2011-09,5.136,
2011-10,5.115,
2011-11,4.917,
2011-12,4.931,
2012-01,5.103,
2012-02,5.131,
2012-03,5.313,
2012-04,5.193,
2012-05,4.852,
2012-06,5.163,
2012-07,4.845,
2012-08,4.737,
2012-09,5.166,
2012-10,4.590,
2012-11,4.979,
2012-12,4.354,
2013-01,4.675,
2013-02,4.840,
2013-03,5.125,
2013-04,4.813,
2013-05,4.726,
2013-06,5.135,
2013-07,4.589,
2013-08,4.648,
2013-09,4.967,
2013-10,4.580,
2013-11,5.260,
2013-12,4.346,
2014-01,4.828,
2014-02,5.087,
2014-03,5.183,
2014-04,5.153,
2014-05,4.795,
2014-06,5.229,
2014-07,4.701,
2014-08,4.686,
2014-09,5.055,
2014-10,4.814,
2014-11,5.686,
2014-12,4.706,
