"",BBK01.OEAF17O,BBK01.OEAF17O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:58,
2002-01,1.095,
2002-04,1.097,
2002-07,1.149,
2002-10,1.080,
2003-01,1.036,
2003-04,1.039,
2003-07,1.055,
2003-10,0.971,
2004-01,0.907,
2004-04,0.888,
2004-07,0.901,
2004-10,0.896,
2005-01,0.902,
2005-04,0.906,
2005-07,0.965,
2005-10,0.952,
2006-01,0.910,
2006-04,0.923,
2006-07,0.934,
2006-10,0.846,
2007-01,0.862,
2007-04,0.848,
2007-07,0.853,
2007-10,0.831,
2008-01,0.829,
2008-04,0.827,
2008-07,0.841,
2008-10,0.851,
2009-01,0.778,
2009-04,0.766,
2009-07,0.760,
2009-10,0.722,
2010-01,0.662,
2010-04,0.604,
2010-07,0.648,
2010-10,0.610,
2011-01,0.615,
2011-04,0.615,
2011-07,0.622,
2011-10,0.571,
2012-01,0.578,
2012-04,0.565,
2012-07,0.568,
2012-10,0.558,
2013-01,0.557,
2013-04,0.554,
2013-07,0.570,
2013-10,0.535,
2014-01,0.543,
2014-04,0.551,
2014-07,0.542,
