"",BBK01.PQM360,BBK01.PQM360_FLAGS
"",Lending to domestic self-employed persons / Medium-term / Mortgage banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:18,
1968-10,0.037,
1969-01,0.034,
1969-04,0.033,
1969-07,0.030,
1969-10,0.030,
1970-01,0.031,
1970-04,0.038,
1970-07,0.060,
1970-10,0.073,
1971-01,0.093,
1971-04,0.118,
1971-07,0.131,
1971-10,0.130,
1972-01,0.136,
1972-04,0.157,
1972-07,0.159,
1972-10,0.175,
1973-01,0.199,
1973-04,0.201,
1973-07,0.207,
1973-10,0.234,
1974-01,0.218,
1974-04,0.214,
1974-07,0.239,
1974-10,0.266,
1975-01,0.242,
1975-04,0.229,
1975-07,0.221,
1975-10,0.207,
1976-01,0.213,
1976-04,0.153,
1976-07,0.146,
1976-10,0.139,
1977-01,0.130,
1977-04,0.140,
1977-07,0.135,
1977-10,0.127,
1978-01,0.124,
1978-04,0.116,
1978-07,0.114,
1978-10,0.114,
1979-01,0.119,
1979-04,0.121,
1979-07,0.121,
1979-10,0.118,
1980-01,0.116,
1980-04,0.124,
1980-07,0.152,
1980-10,0.206,
1981-01,0.227,
1981-04,0.265,
1981-07,0.280,
1981-10,0.315,
1982-01,0.351,
1982-04,0.383,
1982-07,0.405,
1982-10,0.413,
1983-01,0.416,
1983-04,0.376,
1983-07,0.379,
1983-10,0.343,
1984-01,0.329,
1984-04,0.327,
1984-07,0.305,
1984-10,0.290,
1985-01,0.271,
1985-04,0.236,
1985-07,0.220,
1985-10,0.218,
1986-01,0.185,
1986-04,0.160,
1986-07,0.150,
1986-10,0.132,
1987-01,0.119,
1987-04,0.106,
1987-07,0.081,
1987-10,0.075,
1988-01,0.075,
1988-04,0.073,
1988-07,0.079,
1988-10,0.082,
1989-01,0.079,
1989-04,0.073,
1989-07,0.071,
1989-10,0.079,
1990-01,0.086,
1990-04,0.095,
1990-07,0.108,
1990-10,0.141,
1991-01,0.175,
1991-04,0.192,
1991-07,0.185,
1991-10,0.210,
1992-01,0.210,
1992-04,0.236,
1992-07,0.237,
1992-10,0.221,
1993-01,0.218,
1993-04,0.283,
1993-07,0.259,
1993-10,0.316,
1994-01,0.264,
1994-04,0.268,
1994-07,0.292,
1994-10,0.304,
1995-01,0.302,
1995-04,0.318,
1995-07,0.333,
1995-10,0.338,
1996-01,0.407,
1996-04,0.326,
1996-07,0.285,
1996-10,0.279,
1997-01,0.261,
1997-04,0.328,
1997-07,0.330,
1997-10,0.347,
1998-01,0.319,
1998-04,0.331,
1998-07,0.344,
1998-10,0.354,
1999-01,0.651,
1999-04,0.619,
1999-07,0.525,
1999-10,0.526,
2000-01,0.487,
2000-04,0.571,
2000-07,0.522,
2000-10,0.609,
2001-01,0.597,
2001-04,0.611,
2001-07,0.663,
2001-10,0.673,
2002-01,0.602,
2002-04,0.628,
2002-07,0.572,
2002-10,0.903,
2003-01,1.109,
2003-04,1.068,
2003-07,1.153,
2003-10,1.136,
2004-01,0.831,
2004-04,0.750,
2004-07,0.717,
2004-10,0.696,
2005-01,0.687,
2005-04,0.704,
2005-07,1.008,
2005-10,0.913,
2006-01,0.832,
2006-04,0.790,
2006-07,0.759,
2006-10,0.765,
2007-01,0.739,
2007-04,0.682,
2007-07,0.688,
2007-10,0.720,
2008-01,0.620,
2008-04,0.602,
2008-07,0.580,
2008-10,0.533,
2009-01,0.512,
2009-04,0.622,
2009-07,0.614,
2009-10,0.598,
2010-01,0.598,
2010-04,0.554,
2010-07,0.591,
2010-10,0.605,
2011-01,0.566,
2011-04,0.553,
2011-07,0.519,
2011-10,0.520,
2012-01,0.501,
2012-04,0.479,
2012-07,0.477,
2012-10,0.455,
2013-01,0.411,
2013-04,0.364,
2013-07,0.334,
2013-10,0.325,
2014-01,0.334,
2014-04,0.287,
2014-07,0.273,
2014-10,0.258,
