"",BBNZ1.Q.DE.Y.H.0058.A,BBNZ1.Q.DE.Y.H.0058.A_FLAGS
"","Germany / National accounts / Origin of GDP / Wholesale / retail trade, transport and storage, hotel and restaurant services / Chain-linked index / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:40,
1991-01,78.09,
1991-04,77.71,
1991-07,76.05,
1991-10,76.77,
1992-01,78.09,
1992-04,76.66,
1992-07,76.76,
1992-10,77.19,
1993-01,75.75,
1993-04,75.19,
1993-07,75.51,
1993-10,74.96,
1994-01,76.04,
1994-04,75.72,
1994-07,76.74,
1994-10,78.22,
1995-01,77.45,
1995-04,78.34,
1995-07,78.93,
1995-10,78.74,
1996-01,76.60,
1996-04,78.22,
1996-07,78.34,
1996-10,79.18,
1997-01,78.93,
1997-04,79.20,
1997-07,79.59,
1997-10,79.99,
1998-01,82.29,
1998-04,80.76,
1998-07,81.35,
1998-10,81.28,
1999-01,81.35,
1999-04,80.85,
1999-07,82.18,
1999-10,83.23,
2000-01,83.94,
2000-04,85.58,
2000-07,85.54,
2000-10,85.53,
2001-01,88.63,
2001-04,89.05,
2001-07,89.04,
2001-10,89.95,
2002-01,90.26,
2002-04,90.22,
2002-07,90.77,
2002-10,91.38,
2003-01,91.06,
2003-04,91.70,
2003-07,93.22,
2003-10,93.17,
2004-01,92.63,
2004-04,94.30,
2004-07,93.97,
2004-10,94.41,
2005-01,95.58,
2005-04,95.63,
2005-07,96.84,
2005-10,97.08,
2006-01,101.79,
2006-04,103.73,
2006-07,103.98,
2006-10,107.18,
2007-01,105.03,
2007-04,106.91,
2007-07,107.80,
2007-10,108.61,
2008-01,109.27,
2008-04,107.51,
2008-07,107.58,
2008-10,104.95,
2009-01,102.07,
2009-04,101.22,
2009-07,100.76,
2009-10,100.87,
2010-01,98.04,
2010-04,99.44,
2010-07,101.05,
2010-10,100.28,
2011-01,103.69,
2011-04,103.10,
2011-07,104.18,
2011-10,103.83,
2012-01,102.11,
2012-04,101.80,
2012-07,101.43,
2012-10,101.24,
2013-01,101.50,
2013-04,101.61,
2013-07,101.96,
2013-10,102.23,
2014-01,103.69,
2014-04,102.95,
2014-07,103.11,
2014-10,103.47,
