"",BBFB1.Q.N.DE.SE.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:34,
1991-01,2031.395,
1991-04,1877.849,
1991-07,1811.480,
1991-10,1980.588,
1992-01,1857.380,
1992-04,1886.501,
1992-07,1877.167,
1992-10,1878.222,
1993-01,1638.197,
1993-04,1552.047,
1993-07,1477.736,
1993-10,1842.698,
1994-01,1742.338,
1994-04,1951.653,
1994-07,1807.927,
1994-10,2400.681,
1995-01,2419.614,
1995-04,2345.533,
1995-07,2263.767,
1995-10,2530.343,
1996-01,2534.149,
1996-04,2414.243,
1996-07,2287.224,
1996-10,2686.679,
1997-01,2426.231,
1997-04,2697.432,
1997-07,2648.680,
1997-10,2955.438,
1998-01,2839.163,
1998-04,2898.579,
1998-07,2617.136,
1998-10,2897.847,
1999-01,2741.291,
1999-04,2933.490,
1999-07,2803.394,
1999-10,3199.987,
2000-01,3323.996,
2000-04,3488.863,
2000-07,3268.923,
2000-10,3746.670,
2001-01,3535.893,
2001-04,3217.555,
2001-07,2901.703,
2001-10,3346.155,
2002-01,3246.021,
2002-04,3283.014,
2002-07,3117.881,
2002-10,3691.163,
2003-01,3520.069,
2003-04,3365.687,
2003-07,3381.627,
2003-10,3825.325,
2004-01,3666.459,
2004-04,3915.358,
2004-07,3694.612,
2004-10,4298.124,
2005-01,4133.999,
2005-04,4412.535,
2005-07,4130.710,
2005-10,3876.354,
2006-01,4506.912,
2006-04,4588.585,
2006-07,4534.925,
2006-10,4582.473,
2007-01,5233.553,
2007-04,5183.947,
2007-07,5134.847,
2007-10,5070.785,
2008-01,5507.102,
2008-04,5222.916,
2008-07,4902.112,
2008-10,4372.741,
2009-01,3784.228,
2009-04,3791.556,
2009-07,3700.601,
2009-10,4273.987,
2010-01,4344.694,
2010-04,4998.810,
2010-07,4806.002,
2010-10,5377.264,
2011-01,5708.040,
2011-04,5838.547,
2011-07,5609.256,
2011-10,5490.528,
2012-01,5820.324,
2012-04,5653.435,
2012-07,5160.528,
2012-10,5122.675,
2013-01,5324.629,
2013-04,5606.253,
2013-07,5274.911,
2013-10,5299.472,
2014-01,5564.891,Provisional value
2014-04,5674.756,Provisional value
2014-07,5724.227,Provisional value
