"",BBSF2.M.1.S.I1313.TOT01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1313.TOT01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net asset value / Local Government / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:27,
2009-09,470,
2009-10,469,
2009-11,472,
2009-12,471,
2010-01,469,
2010-02,532,
2010-03,555,
2010-04,551,
2010-05,572,
2010-06,499,
2010-07,428,
2010-08,440,
2010-09,440,
2010-10,439,
2010-11,437,
2010-12,439,
2011-01,436,
2011-02,438,
2011-03,415,
2011-04,418,
2011-05,420,
2011-06,420,
2011-07,420,
2011-08,421,
2011-09,635,
2011-10,709,
2011-11,691,
2011-12,690,
2012-01,709,
2012-02,715,
2012-03,716,
2012-04,713,
2012-05,719,
2012-06,717,
2012-07,730,
2012-08,732,
2012-09,739,
2012-10,740,
2012-11,745,
2012-12,747,
2013-01,754,
2013-02,755,
2013-03,854,
2013-04,863,
2013-05,864,
2013-06,869,
2013-07,874,
2013-08,895,
2013-09,907,
2013-10,919,
2013-11,934,
2013-12,923,
2014-01,925,
2014-02,938,
2014-03,949,
2014-04,953,
2014-05,962,
2014-06,967,
2014-07,973,
2014-08,1123,
2014-09,1127,
2014-10,1125,
2014-11,1133,
