"",BBFN1.M.DE.N.1.L.AU.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AU.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Australia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:34,
1982-09,0.028,
1982-10,0.027,
1982-11,0.027,
1982-12,0.028,
1983-01,0.026,
1983-02,0.026,
1983-03,0.028,
1983-04,0.027,
1983-05,0.027,
1983-06,0.044,
1983-07,0.029,
1983-08,0.038,
1983-09,0.044,
1983-10,0.064,
1983-11,0.070,
1983-12,0.079,
1984-01,0.084,
1984-02,0.084,
1984-03,0.085,
1984-04,0.085,
1984-05,0.076,
1984-06,0.071,
1984-07,0.071,
1984-08,0.071,
1984-09,0.072,
1984-10,0.072,
1984-11,0.079,
1984-12,0.063,
1985-01,0.063,
1985-02,0.063,
1985-03,0.063,
1985-04,0.063,
1985-05,0.063,
1985-06,0.063,
1985-07,0.076,
1985-08,0.076,
1985-09,0.078,
1985-10,0.078,
1985-11,0.078,
1985-12,0.077,
1986-01,0.078,
1986-02,0.079,
1986-03,0.080,
1986-04,0.076,
1986-05,0.078,
1986-06,0.082,
1986-07,0.084,
1986-08,0.082,
1986-09,.,No value available
1986-10,0.095,
1986-11,0.095,
1986-12,0.084,
1987-01,0.117,
1987-02,0.117,
1987-03,0.117,
1987-04,0.184,
1987-05,0.164,
1987-06,0.203,
1987-07,0.200,
1987-08,0.200,
1987-09,0.201,
1987-10,0.200,
1987-11,0.210,
1987-12,0.211,
1988-01,0.212,
1988-02,0.214,
1988-03,0.214,
1988-04,0.215,
1988-05,0.214,
1988-06,0.217,
1988-07,0.224,
1988-08,0.222,
1988-09,0.222,
1988-10,0.223,
1988-11,0.224,
1988-12,0.223,
1989-01,0.225,
1989-02,0.227,
1989-03,0.188,
1989-04,0.189,
1989-05,0.188,
1989-06,0.186,
1989-07,0.186,
1989-08,0.186,
1989-09,0.186,
1989-10,0.187,
1989-11,0.185,
1989-12,0.187,
1990-01,0.193,
1990-02,0.219,
1990-03,0.218,
1990-04,0.243,
1990-05,0.246,
1990-06,0.262,
1990-07,0.262,
1990-08,0.259,
1990-09,0.295,
1990-10,0.295,
1990-11,0.287,
1990-12,0.284,
