"",BBK01.WXI015,BBK01.WXI015_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:14,
2009-09,2,
2009-10,14,
2009-11,2,
2009-12,16,
2010-01,85,
2010-02,26,
2010-03,31,
2010-04,140,
2010-05,928,
2010-06,70,
2010-07,9,
2010-08,12,
2010-09,5,
2010-10,7,
2010-11,35,
2010-12,40,
2011-01,22,
2011-02,21,
2011-03,25,
2011-04,35,
2011-05,38,
2011-06,36,
2011-07,41,
2011-08,23,
2011-09,43,
2011-10,10,
2011-11,24,
2011-12,36,
2012-01,57,
2012-02,20,
2012-03,267,
2012-04,2005,
2012-05,865,
2012-06,566,
2012-07,62,
2012-08,43,
2012-09,35,
2012-10,98,
2012-11,23,
2012-12,23,
2013-01,25,
2013-02,65,
2013-03,29,
2013-04,2544,
2013-05,37,
2013-06,29,
2013-07,37,
2013-08,42,
2013-09,27,
2013-10,51,
2013-11,42,
2013-12,31,
2014-01,196,
2014-02,32,
2014-03,46,
2014-04,3269,
2014-05,39,
2014-06,44,
2014-07,54,
2014-08,58,
2014-09,77,
2014-10,34,
2014-11,40,
