"",BBK01.OEHB11R,BBK01.OEHB11R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:59,
2002-01,0.059,
2002-04,0.057,
2002-07,0.063,
2002-10,0.068,
2003-01,0.061,
2003-04,0.057,
2003-07,0.055,
2003-10,0.050,
2004-01,0.050,
2004-04,0.050,
2004-07,0.047,
2004-10,0.040,
2005-01,0.045,
2005-04,0.044,
2005-07,0.041,
2005-10,0.039,
2006-01,0.040,
2006-04,0.039,
2006-07,0.039,
2006-10,0.047,
2007-01,0.037,
2007-04,0.038,
2007-07,0.040,
2007-10,0.038,
2008-01,0.043,
2008-04,0.041,
2008-07,0.043,
2008-10,0.041,
2009-01,0.040,
2009-04,0.037,
2009-07,0.042,
2009-10,0.049,
2010-01,0.054,
2010-04,0.055,
2010-07,0.056,
2010-10,0.091,
2011-01,0.092,
2011-04,0.110,
2011-07,0.110,
2011-10,0.111,
2012-01,0.094,
2012-04,0.090,
2012-07,0.112,
2012-10,0.090,
2013-01,0.084,
2013-04,0.077,
2013-07,0.086,
2013-10,0.086,
2014-01,0.087,
2014-04,0.087,
2014-07,0.079,
