"",BBK01.OEHK01P,BBK01.OEHK01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:26,
2002-01,0.347,
2002-04,0.333,
2002-07,0.331,
2002-10,0.320,
2003-01,0.313,
2003-04,0.315,
2003-07,0.316,
2003-10,0.300,
2004-01,0.285,
2004-04,0.282,
2004-07,0.285,
2004-10,0.285,
2005-01,0.277,
2005-04,0.280,
2005-07,0.288,
2005-10,0.297,
2006-01,0.305,
2006-04,0.300,
2006-07,0.303,
2006-10,0.323,
2007-01,0.325,
2007-04,0.331,
2007-07,0.332,
2007-10,0.345,
2008-01,0.351,
2008-04,0.352,
2008-07,0.366,
2008-10,0.394,
2009-01,0.373,
2009-04,0.375,
2009-07,0.387,
2009-10,0.383,
2010-01,0.392,
2010-04,0.359,
2010-07,0.371,
2010-10,0.379,
2011-01,0.373,
2011-04,0.374,
2011-07,0.374,
2011-10,0.382,
2012-01,0.388,
2012-04,0.381,
2012-07,0.387,
2012-10,0.396,
2013-01,0.396,
2013-04,0.406,
2013-07,0.424,
2013-10,0.439,
2014-01,0.448,
2014-04,0.457,
2014-07,0.469,
