"",BBK01.TSD413O,BBK01.TSD413O_FLAGS
"","Credit to enterprises and households (from June 2010, excluding reverse repos with central counterparties) / Loans / All maturities / Domestic / Outstanding amounts at the end of the month (stocks) / Seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:23,
1999-01,1978.0,
1999-02,1986.1,
1999-03,1991.3,
1999-04,2000.2,
1999-05,2006.8,
1999-06,2025.6,
1999-07,2036.8,
1999-08,2044.6,
1999-09,2053.5,
1999-10,2064.1,
1999-11,2073.3,
1999-12,2083.0,
2000-01,2097.2,
2000-02,2105.6,
2000-03,2116.2,
2000-04,2129.8,
2000-05,2136.1,
2000-06,2141.9,
2000-07,2147.8,
2000-08,2158.6,
2000-09,2168.9,
2000-10,2176.2,
2000-11,2180.3,
2000-12,2178.8,
2001-01,2187.2,
2001-02,2197.0,
2001-03,2202.2,
2001-04,2202.9,
2001-05,2209.8,
2001-06,2211.4,
2001-07,2212.5,
2001-08,2214.5,
2001-09,2216.9,
2001-10,2220.5,
2001-11,2225.1,
2001-12,2229.2,
2002-01,2226.0,
2002-02,2226.5,
2002-03,2228.7,
2002-04,2232.0,
2002-05,2231.6,
2002-06,2232.1,
2002-07,2237.0,
2002-08,2238.6,
2002-09,2239.2,
2002-10,2240.4,
2002-11,2236.3,
2002-12,2239.6,
2003-01,2241.6,
2003-02,2240.8,
2003-03,2240.4,
2003-04,2236.2,
2003-05,2234.8,
2003-06,2237.5,
2003-07,2233.5,
2003-08,2233.1,
2003-09,2240.3,
2003-10,2240.2,
2003-11,2241.5,
2003-12,2241.6,
2004-01,2234.2,
2004-02,2231.2,
2004-03,2230.7,
2004-04,2231.3,
2004-05,2231.9,
2004-06,2227.9,
2004-07,2227.1,
2004-08,2223.5,
2004-09,2224.8,
2004-10,2223.8,
2004-11,2228.3,
2004-12,2225.4,
2005-01,2220.9,
2005-02,2220.8,
2005-03,2217.9,
2005-04,2217.7,
2005-05,2222.1,
2005-06,2222.2,
2005-07,2226.0,
2005-08,2228.0,
2005-09,2233.3,
2005-10,2240.9,
2005-11,2234.4,
2005-12,2230.5,
2006-01,2256.3,
2006-02,2256.1,
2006-03,2258.3,
2006-04,2263.8,
2006-05,2264.9,
2006-06,2265.5,
2006-07,2262.0,
2006-08,2265.3,
2006-09,2275.6,
2006-10,2268.6,
2006-11,2262.5,
2006-12,2247.4,
2007-01,2257.4,
2007-02,2257.6,
2007-03,2261.3,
2007-04,2256.3,
2007-05,2253.6,
2007-06,2261.6,
2007-07,2266.3,
2007-08,2272.3,
2007-09,2273.4,
2007-10,2275.0,
2007-11,2273.7,
2007-12,2297.7,
2008-01,2302.5,
2008-02,2308.6,
2008-03,2316.3,
2008-04,2322.3,
2008-05,2326.2,
2008-06,2332.7,
2008-07,2341.4,
2008-08,2343.6,
2008-09,2349.3,
2008-10,2354.6,
2008-11,2355.5,
2008-12,2368.9,
2009-01,2381.2,
2009-02,2370.8,
2009-03,2384.2,
2009-04,2384.6,
2009-05,2383.3,
2009-06,2387.5,
2009-07,2371.1,
2009-08,2359.6,
2009-09,2370.3,
2009-10,2362.4,
2009-11,2364.9,
2009-12,2370.7,
2010-01,2358.8,
2010-02,2352.4,
2010-03,2349.8,
2010-04,2361.0,
2010-05,2363.1,
2010-06,2298.4,
2010-07,2295.7,
2010-08,2295.6,
2010-09,2287.5,
2010-10,2289.4,
2010-11,2296.1,
2010-12,2299.4,
2011-01,2293.4,
2011-02,2297.8,
2011-03,2296.5,
2011-04,2291.4,
2011-05,2296.2,
2011-06,2296.4,
2011-07,2300.0,
2011-08,2309.9,
2011-09,2315.2,
2011-10,2319.3,
2011-11,2323.6,
2011-12,2323.2,
2012-01,2331.5,
2012-02,2328.9,
2012-03,2330.3,
2012-04,2333.0,
2012-05,2340.2,
2012-06,2341.8,
2012-07,2348.1,
2012-08,2349.2,
2012-09,2348.1,
2012-10,2348.9,
2012-11,2351.4,
2012-12,2349.9,
2013-01,2344.8,
2013-02,2346.9,
2013-03,2351.3,
2013-04,2348.7,
2013-05,2350.1,
2013-06,2350.5,
2013-07,2349.6,
2013-08,2351.9,
2013-09,2349.5,
2013-10,2351.5,
2013-11,2351.7,
2013-12,2352.4,
2014-01,2353.9,
2014-02,2355.4,
2014-03,2356.9,
2014-04,2362.4,
2014-05,2366.0,
2014-06,2367.0,
2014-07,2368.5,
2014-08,2372.7,
2014-09,2377.4,
2014-10,2378.8,
2014-11,2384.7,
2014-12,2382.5,Provisional value
2015-01,2391.8,
