"",BBSF2.M.1.T.00000.GEF01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEF01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Mixed funds / Distribution of earnings,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:48,
2009-09,20,
2009-10,155,
2009-11,304,
2009-12,1918,
2010-01,361,
2010-02,223,
2010-03,342,
2010-04,142,
2010-05,164,
2010-06,474,
2010-07,157,
2010-08,166,
2010-09,155,
2010-10,178,
2010-11,526,
2010-12,2070,
2011-01,252,
2011-02,403,
2011-03,261,
2011-04,135,
2011-05,489,
2011-06,471,
2011-07,199,
2011-08,79,
2011-09,207,
2011-10,140,
2011-11,408,
2011-12,2199,
2012-01,249,
2012-02,500,
2012-03,275,
2012-04,212,
2012-05,232,
2012-06,318,
2012-07,278,
2012-08,265,
2012-09,282,
2012-10,290,
2012-11,711,
2012-12,2078,
2013-01,617,
2013-02,590,
2013-03,501,
2013-04,548,
2013-05,330,
2013-06,469,
2013-07,224,
2013-08,476,
2013-09,1971,
2013-10,477,
2013-11,725,
2013-12,2145,
2014-01,443,
2014-02,420,
2014-03,198,
2014-04,397,
2014-05,221,
2014-06,482,
2014-07,85,
2014-08,163,
2014-09,227,
2014-10,743,
2014-11,782,
