"",BBK01.CEFR0I,BBK01.CEFR0I_FLAGS
"",long-term time deposits  debtor: Total   creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:31:40,
1999-01,114.8,
1999-04,113.7,
1999-07,113.1,
1999-10,115.7,
2000-01,115.7,
2000-04,114.3,
2000-07,113.7,
2000-10,116.2,
2001-01,116.2,
2001-04,115.4,
2001-07,114.8,
2001-10,118.1,
2002-01,118.6,
2002-04,118.8,
2002-07,119.5,
2002-10,123.5,
2003-01,125.0,
2003-04,125.4,
2003-07,126.0,
2003-10,128.5,
2004-01,130.1,
2004-04,130.6,
2004-07,131.8,
2004-10,135.9,
2005-01,137.9,
2005-04,136.3,
2005-07,136.4,
2005-10,139.3,
2006-01,140.7,
2006-04,140.9,
2006-07,140.9,
2006-10,143.2,
2007-01,143.3,
2007-04,143.0,
2007-07,141.6,
2007-10,143.4,
2008-01,142.5,
2008-04,141.0,
2008-07,137.0,
2008-10,138.1,
2009-01,138.4,
2009-04,140.1,
2009-07,142.0,
2009-10,147.3,
2010-01,150.7,
2010-04,152.4,
2010-07,154.1,
2010-10,158.1,
2011-01,160.6,
2011-04,161.8,
2011-07,162.6,
2011-10,167.0,
2012-01,169.4,
2012-04,170.2,
2012-07,171.1,
2012-10,173.9,
2013-01,175.4,
2013-04,176.5,
2013-07,176.9,
2013-10,180.8,
2014-01,183.4,
2014-04,185.1,
2014-07,186.4,
