"",BBK01.OECB07R,BBK01.OECB07R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:36,
2002-01,0.080,
2002-04,0.077,
2002-07,0.074,
2002-10,0.071,
2003-01,0.069,
2003-04,0.064,
2003-07,0.074,
2003-10,0.061,
2004-01,0.058,
2004-04,0.053,
2004-07,0.053,
2004-10,0.081,
2005-01,0.088,
2005-04,0.094,
2005-07,0.095,
2005-10,0.094,
2006-01,0.090,
2006-04,0.091,
2006-07,0.092,
2006-10,0.090,
2007-01,0.080,
2007-04,0.127,
2007-07,0.127,
2007-10,0.126,
2008-01,0.073,
2008-04,0.074,
2008-07,0.073,
2008-10,0.086,
2009-01,0.141,
2009-04,0.159,
2009-07,0.073,
2009-10,0.083,
2010-01,0.088,
2010-04,0.085,
2010-07,0.075,
2010-10,0.102,
2011-01,0.103,
2011-04,0.103,
2011-07,0.106,
2011-10,0.117,
2012-01,0.120,
2012-04,0.125,
2012-07,0.121,
2012-10,0.119,
2013-01,0.148,
2013-04,0.173,
2013-07,0.283,
2013-10,0.283,
2014-01,0.281,
2014-04,0.262,
2014-07,0.261,
