"",BBFB1.Q.N.DE.W03100.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:32,
1991-01,-2647.125,
1991-04,-2454.051,
1991-07,-2033.126,
1991-10,-375.947,
1992-01,-1185.520,
1992-04,-805.367,
1992-07,-775.259,
1992-10,56.866,
1993-01,201.465,
1993-04,86.905,
1993-07,-641.709,
1993-10,923.716,
1994-01,-817.140,
1994-04,1201.011,
1994-07,-822.751,
1994-10,359.187,
1995-01,664.142,
1995-04,8.875,
1995-07,-452.837,
1995-10,1393.228,
1996-01,-35.115,
1996-04,831.086,
1996-07,1321.846,
1996-10,3597.678,
1997-01,-748.361,
1997-04,1425.256,
1997-07,2351.120,
1997-10,3045.181,
1998-01,-56.552,
1998-04,-108.938,
1998-07,402.329,
1998-10,-751.046,
1999-01,-3668.213,
1999-04,-1421.482,
1999-07,-2711.796,
1999-10,-2565.834,
2000-01,-5825.283,
2000-04,-5150.776,
2000-07,-5422.318,
2000-10,-6143.308,
2001-01,-5037.551,
2001-04,-1403.311,
2001-07,-1947.065,
2001-10,-180.229,
2002-01,73.854,
2002-04,1887.223,
2002-07,1784.463,
2002-10,1079.657,
2003-01,-1922.456,
2003-04,1686.752,
2003-07,2275.821,
2003-10,-764.678,
2004-01,3429.516,
2004-04,4809.958,
2004-07,-291.654,
2004-10,-1155.625,
2005-01,674.748,
2005-04,-476.630,
2005-07,772.878,
2005-10,-2235.797,
2006-01,-3580.165,
2006-04,-2081.870,
2006-07,-36.735,
2006-10,4076.178,
2007-01,1684.036,
2007-04,5083.676,
2007-07,4071.372,
2007-10,2858.995,
2008-01,1897.302,
2008-04,6625.816,
2008-07,893.294,
2008-10,5792.057,
2009-01,2604.777,
2009-04,6139.174,
2009-07,4399.024,
2009-10,9931.509,
2010-01,6330.054,
2010-04,5782.393,
2010-07,7715.281,
2010-10,10298.152,
2011-01,6016.870,
2011-04,8584.164,
2011-07,6637.250,
2011-10,11329.614,
2012-01,9483.175,
2012-04,17405.631,
2012-07,14673.042,
2012-10,15147.642,
2013-01,11221.891,
2013-04,17816.574,
2013-07,12991.940,
2013-10,18880.251,
2014-01,13062.261,Provisional value
2014-04,19514.886,Provisional value
2014-07,16794.672,Provisional value
