"",BBSF2.M.1.S.00000.AKT01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:26,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,285,
1993-05,472,
1993-06,9,
1993-07,100,
1993-08,121,
1993-09,143,
1993-10,338,
1993-11,195,
1993-12,415,
1994-01,356,
1994-02,185,
1994-03,139,
1994-04,433,
1994-05,85,
1994-06,43,
1994-07,179,
1994-08,55,
1994-09,114,
1994-10,100,
1994-11,38,
1994-12,316,
1995-01,127,
1995-02,127,
1995-03,44,
1995-04,112,
1995-05,81,
1995-06,107,
1995-07,54,
1995-08,68,
1995-09,266,
1995-10,48,
1995-11,51,
1995-12,333,
1996-01,623,
1996-02,94,
1996-03,110,
1996-04,150,
1996-05,280,
1996-06,185,
1996-07,269,
1996-08,33,
1996-09,77,
1996-10,229,
1996-11,338,
1996-12,1291,
1997-01,651,
1997-02,592,
1997-03,340,
1997-04,218,
1997-05,316,
1997-06,593,
1997-07,633,
1997-08,332,
1997-09,1410,
1997-10,2517,
1997-11,330,
1997-12,946,
1998-01,812,
1998-02,360,
1998-03,1558,
1998-04,672,
1998-05,393,
1998-06,424,
1998-07,485,
1998-08,563,
1998-09,319,
1998-10,591,
1998-11,1985,
1998-12,1263,
1999-01,1665,
1999-02,368,
1999-03,248,
1999-04,969,
1999-05,368,
1999-06,414,
1999-07,356,
1999-08,1204,
1999-09,185,
1999-10,948,
1999-11,650,
1999-12,2073,
2000-01,1473,
2000-02,716,
2000-03,289,
2000-04,1741,
2000-05,1318,
2000-06,3270,
2000-07,770,
2000-08,215,
2000-09,786,
2000-10,1389,
2000-11,444,
2000-12,3030,
2001-01,1023,
2001-02,532,
2001-03,482,
2001-04,1141,
2001-05,543,
2001-06,959,
2001-07,532,
2001-08,495,
2001-09,688,
2001-10,259,
2001-11,498,
2001-12,3340,
2002-01,1628,
2002-02,1047,
2002-03,596,
2002-04,2703,
2002-05,275,
2002-06,210,
2002-07,442,
2002-08,571,
2002-09,308,
2002-10,3053,
2002-11,369,
2002-12,2388,
2003-01,534,
2003-02,1238,
2003-03,1284,
2003-04,79,
2003-05,630,
2003-06,335,
2003-07,498,
2003-08,106,
2003-09,505,
2003-10,2176,
2003-11,2983,
2003-12,2308,
2004-01,392,
2004-02,1534,
2004-03,1374,
2004-04,241,
2004-05,983,
2004-06,299,
2004-07,46,
2004-08,498,
2004-09,233,
2004-10,243,
2004-11,1930,
2004-12,1125,
2005-01,402,
2005-02,461,
2005-03,730,
2005-04,493,
2005-05,1235,
2005-06,812,
2005-07,1121,
2005-08,537,
2005-09,876,
2005-10,411,
2005-11,1274,
2005-12,3158,
2006-01,2457,
2006-02,1784,
2006-03,2073,
2006-04,784,
2006-05,963,
2006-06,1045,
2006-07,1353,
2006-08,520,
2006-09,138,
2006-10,534,
2006-11,866,
2006-12,3344,
2007-01,1152,
2007-02,895,
2007-03,2022,
2007-04,406,
2007-05,497,
2007-06,352,
2007-07,1684,
2007-08,874,
2007-09,87,
2007-10,502,
2007-11,1530,
2007-12,2719,
2008-01,481,
2008-02,460,
2008-03,1944,
2008-04,473,
2008-05,2612,
2008-06,1484,
2008-07,44,
2008-08,343,
2008-09,325,
2008-10,2238,
2008-11,647,
2008-12,1837,
2009-01,641,
2009-02,1422,
2009-03,2146,
2009-04,2077,
2009-05,616,
2009-06,307,
2009-07,746,
2009-08,1174,
2009-09,250,
2009-10,763,
2009-11,356,
2009-12,976,
2010-01,419,
2010-02,507,
2010-03,1670,
2010-04,891,
2010-05,572,
2010-06,704,
2010-07,493,
2010-08,199,
2010-09,736,
2010-10,867,
2010-11,983,
2010-12,786,
2011-01,396,
2011-02,961,
2011-03,407,
2011-04,360,
2011-05,453,
2011-06,464,
2011-07,690,
2011-08,667,
2011-09,541,
2011-10,203,
2011-11,1006,
2011-12,1154,
2012-01,3315,
2012-02,431,
2012-03,304,
2012-04,1448,
2012-05,956,
2012-06,182,
2012-07,361,
2012-08,1825,
2012-09,312,
2012-10,813,
2012-11,1367,
2012-12,2936,
2013-01,1124,
2013-02,658,
2013-03,2740,
2013-04,1787,
2013-05,1992,
2013-06,498,
2013-07,920,
2013-08,1251,
2013-09,676,
2013-10,1046,
2013-11,1038,
2013-12,2048,
2014-01,750,
2014-02,921,
2014-03,589,
2014-04,5045,
2014-05,465,
2014-06,1401,
2014-07,1355,
2014-08,713,
2014-09,399,
2014-10,1092,
2014-11,6113,
