"",BBK01.TQ7004,BBK01.TQ7004_FLAGS
"",Deposit takers - Non-performing loans to total gross loans FSI-I004,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:21,
2005-10,4.05,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,3.41,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,2.65,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,2.85,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,3.31,
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,No value available
2010-10,3.20,
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,3.03,
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,2.86,
2013-01,.,No value available
2013-04,.,No value available
2013-07,.,No value available
2013-10,2.69,
