"",BBFN1.M.DE.N.1.A.U2.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U2.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign banks arising from financial operations / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:05,
1995-01,0.401,
1995-02,0.503,
1995-03,0.493,
1995-04,0.491,
1995-05,0.473,
1995-06,0.440,
1995-07,0.435,
1995-08,0.729,
1995-09,1.670,
1995-10,1.677,
1995-11,1.682,
1995-12,1.672,
1996-01,1.667,
1996-02,1.607,
1996-03,1.588,
1996-04,1.574,
1996-05,1.575,
1996-06,1.564,
1996-07,1.555,
1996-08,1.569,
1996-09,1.561,
1996-10,1.574,
1996-11,2.587,
1996-12,2.564,
1997-01,2.555,
1997-02,2.573,
1997-03,2.591,
1997-04,2.593,
1997-05,2.637,
1997-06,2.658,
1997-07,2.672,
1997-08,2.637,
1997-09,2.626,
1997-10,2.605,
1997-11,2.591,
1997-12,2.584,
1998-01,2.582,
1998-02,2.585,
1998-03,2.624,
1998-04,2.656,
1998-05,2.066,
1998-06,2.062,
1998-07,2.105,
1998-08,2.178,
1998-09,2.153,
1998-10,2.368,
1998-11,1.906,
1998-12,2.317,
1999-01,2.456,
1999-02,2.663,
1999-03,2.736,
1999-04,2.834,
1999-05,2.764,
1999-06,3.691,
1999-07,3.729,
1999-08,3.739,
1999-09,2.964,
1999-10,3.020,
1999-11,2.929,
1999-12,2.993,
2000-01,3.035,
2000-02,3.152,
2000-03,3.330,
2000-04,3.583,
2000-05,3.657,
2000-06,3.020,
2000-07,2.974,
2000-08,3.128,
2000-09,3.156,
2000-10,3.229,
2000-11,3.290,
2000-12,2.540,
2001-01,2.489,
2001-02,2.481,
2001-03,2.518,
2001-04,2.551,
2001-05,2.804,
2001-06,2.783,
2001-07,2.827,
2001-08,2.973,
2001-09,2.989,
2001-10,3.591,
2001-11,3.617,
2001-12,3.659,
2002-01,3.777,
2002-02,3.713,
2002-03,3.850,
2002-04,3.854,
2002-05,3.908,
2002-06,3.943,
2002-07,3.953,
2002-08,3.938,
2002-09,3.781,
2002-10,3.885,
2002-11,3.803,
2002-12,3.866,
2003-01,4.234,
2003-02,4.422,
2003-03,4.628,
2003-04,5.181,
2003-05,5.334,
2003-06,5.715,
2003-07,5.898,
2003-08,5.669,
2003-09,5.813,
2003-10,6.150,
2003-11,6.015,
2003-12,6.423,
2004-01,6.624,
2004-02,6.735,
2004-03,7.080,
2004-04,7.546,
2004-05,7.930,
2004-06,7.857,
2004-07,8.293,
2004-08,8.343,
2004-09,8.860,
2004-10,9.183,
2004-11,9.422,
2004-12,9.758,
2005-01,9.979,
2005-02,10.392,
2005-03,10.677,
2005-04,11.177,
2005-05,11.227,
2005-06,12.010,
2005-07,12.034,
2005-08,12.127,
2005-09,12.370,
2005-10,12.580,
2005-11,13.107,
2005-12,13.417,
2006-01,14.470,
2006-02,15.940,
2006-03,17.079,
2006-04,18.044,
2006-05,18.310,
2006-06,21.026,
2006-07,22.144,
2006-08,24.818,
2006-09,25.909,
2006-10,27.974,
2006-11,29.908,
2006-12,32.377,
2007-01,34.809,
2007-02,36.151,
2007-03,40.199,
2007-04,43.807,
2007-05,47.108,
2007-06,49.921,
2007-07,51.446,
2007-08,54.229,
2007-09,58.670,
2007-10,64.883,
2007-11,72.200,
2007-12,72.624,
2008-01,74.705,
2008-02,77.943,
2008-03,76.505,
2008-04,78.713,
2008-05,80.417,
2008-06,79.646,
2008-07,83.687,
2008-08,84.611,
2008-09,86.537,
2008-10,91.263,
2008-11,92.775,
2008-12,85.244,
2009-01,84.704,
2009-02,85.215,
2009-03,85.230,
2009-04,88.297,
2009-05,89.285,
2009-06,81.619,
2009-07,87.156,
2009-08,92.751,
2009-09,92.384,
2009-10,96.405,
2009-11,100.477,
2009-12,94.932,
2010-01,98.056,
2010-02,103.183,
2010-03,102.254,
2010-04,109.713,
2010-05,110.663,
2010-06,108.489,
2010-07,114.665,
2010-08,121.097,
2010-09,120.961,
2010-10,125.734,
2010-11,130.145,
2010-12,128.261,
2011-01,134.198,
2011-02,128.824,
2011-03,126.197,
2011-04,128.353,
2011-05,132.913,
2011-06,126.497,
2011-07,129.191,
2011-08,128.102,
2011-09,124.536,
2011-10,111.199,
2011-11,108.541,
2011-12,100.665,
2012-01,101.295,
2012-02,101.780,
2012-03,99.774,
2012-04,100.270,
2012-05,100.942,
2012-06,96.222,
2012-07,97.340,
2012-08,98.403,
2012-09,97.544,
2012-10,98.684,
2012-11,99.635,
2012-12,98.577,
2013-01,96.390,
2013-02,97.050,
2013-03,97.401,
2013-04,97.781,
2013-05,99.430,
2013-06,97.541,
2013-07,97.912,
2013-08,98.907,
2013-09,100.706,
2013-10,101.372,
2013-11,102.378,
2013-12,103.715,
2014-01,102.703,
2014-02,102.971,
2014-03,103.697,
2014-04,104.721,
2014-05,106.530,
2014-06,107.129,
2014-07,106.891,
2014-08,107.967,
2014-09,108.048,
2014-10,107.761,
2014-11,108.008,
2014-12,108.043,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
