"",BBK01.OELM10N,BBK01.OELM10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:25,
2002-01,0.223,
2002-04,0.221,
2002-07,0.218,
2002-10,0.219,
2003-01,0.216,
2003-04,0.211,
2003-07,0.207,
2003-10,0.204,
2004-01,0.200,
2004-04,0.197,
2004-07,0.195,
2004-10,0.196,
2005-01,0.195,
2005-04,0.199,
2005-07,0.197,
2005-10,0.197,
2006-01,0.198,
2006-04,0.200,
2006-07,0.197,
2006-10,0.198,
2007-01,0.196,
2007-04,0.196,
2007-07,0.196,
2007-10,0.195,
2008-01,0.195,
2008-04,0.194,
2008-07,0.192,
2008-10,0.193,
2009-01,0.190,
2009-04,0.187,
2009-07,0.188,
2009-10,0.188,
2010-01,0.187,
2010-04,0.190,
2010-07,0.188,
2010-10,0.190,
2011-01,0.189,
2011-04,0.187,
2011-07,0.185,
2011-10,0.189,
2012-01,0.188,
2012-04,0.188,
2012-07,0.188,
2012-10,0.187,
2013-01,0.187,
2013-04,0.187,
2013-07,0.186,
2013-10,0.185,
2014-01,0.184,
2014-04,0.183,
2014-07,0.181,
