"",BBK01.OEAB23Q,BBK01.OEAB23Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:13,
2002-01,1.085,
2002-04,1.067,
2002-07,0.983,
2002-10,0.899,
2003-01,0.919,
2003-04,0.903,
2003-07,0.846,
2003-10,0.829,
2004-01,0.850,
2004-04,0.813,
2004-07,0.726,
2004-10,0.555,
2005-01,0.321,
2005-04,0.324,
2005-07,0.307,
2005-10,0.388,
2006-01,0.321,
2006-04,0.273,
2006-07,0.317,
2006-10,0.607,
2007-01,0.640,
2007-04,0.780,
2007-07,0.672,
2007-10,0.634,
2008-01,1.002,
2008-04,1.031,
2008-07,0.935,
2008-10,0.942,
2009-01,0.906,
2009-04,1.241,
2009-07,1.094,
2009-10,1.062,
2010-01,1.029,
2010-04,0.762,
2010-07,0.773,
2010-10,0.820,
2011-01,0.718,
2011-04,0.693,
2011-07,0.663,
2011-10,0.609,
2012-01,0.555,
2012-04,0.541,
2012-07,0.469,
2012-10,0.346,
2013-01,0.186,
2013-04,0.207,
2013-07,0.185,
2013-10,0.179,
2014-01,0.164,
2014-04,0.367,
2014-07,0.363,
