"",BBK01.OEAF23R,BBK01.OEAF23R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:43,
2002-01,0.093,
2002-04,0.090,
2002-07,0.091,
2002-10,0.090,
2003-01,0.087,
2003-04,0.087,
2003-07,0.086,
2003-10,0.085,
2004-01,0.091,
2004-04,0.092,
2004-07,0.097,
2004-10,0.099,
2005-01,0.101,
2005-04,0.104,
2005-07,0.101,
2005-10,0.098,
2006-01,0.098,
2006-04,0.097,
2006-07,0.098,
2006-10,0.096,
2007-01,0.097,
2007-04,0.094,
2007-07,0.085,
2007-10,0.077,
2008-01,0.073,
2008-04,0.069,
2008-07,0.068,
2008-10,0.066,
2009-01,0.063,
2009-04,0.067,
2009-07,0.068,
2009-10,0.066,
2010-01,0.066,
2010-04,0.067,
2010-07,0.067,
2010-10,0.061,
2011-01,0.061,
2011-04,0.064,
2011-07,0.066,
2011-10,0.068,
2012-01,0.071,
2012-04,0.071,
2012-07,0.070,
2012-10,0.070,
2013-01,0.072,
2013-04,0.071,
2013-07,0.067,
2013-10,0.070,
2014-01,0.061,
2014-04,0.059,
2014-07,0.060,
