"",BBK01.OEBI02U,BBK01.OEBI02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:23,
2002-01,1.822,
2002-04,2.037,
2002-07,2.144,
2002-10,2.294,
2003-01,2.158,
2003-04,2.172,
2003-07,2.178,
2003-10,2.412,
2004-01,2.336,
2004-04,2.484,
2004-07,2.520,
2004-10,2.540,
2005-01,2.757,
2005-04,2.778,
2005-07,2.856,
2005-10,3.104,
2006-01,2.954,
2006-04,2.896,
2006-07,2.897,
2006-10,2.978,
2007-01,2.791,
2007-04,3.097,
2007-07,2.917,
2007-10,3.212,
2008-01,3.004,
2008-04,2.895,
2008-07,2.977,
2008-10,3.563,
2009-01,4.050,
2009-04,4.277,
2009-07,4.762,
2009-10,4.857,
2010-01,4.930,
2010-04,4.878,
2010-07,5.060,
2010-10,5.195,
2011-01,5.093,
2011-04,5.150,
2011-07,5.380,
2011-10,5.249,
2012-01,4.886,
2012-04,4.716,
2012-07,4.546,
2012-10,4.794,
2013-01,4.654,
2013-04,4.819,
2013-07,4.939,
2013-10,5.093,
2014-01,4.948,
2014-04,5.013,
2014-07,5.204,
