"",BBEX3.A.ERN.EUR.CA.AC.A04,BBEX3.A.ERN.EUR.CA.AC.A04_FLAGS
"",Exchange rates for the euro in Eritrea / EUR 1 = ERN ... (middle),
unit,ERN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:53,
1999,8.78443,comment
2000,8.95265,
2001,10.21270,comment
2002,13.15702,
2003,15.31087,
2004,17.28619,
2005,18.97925,
2006,19.24375,
2007,21.00713,
2008,22.50788,
2009,21.28988,
2010,20.15863,
2011,21.30613,
2012,19.76013,
2013,20.35513,
2014,20.23538,
"","Source: Bank of Eritrea, Asmara.",
"",Methodology: Calculated on the basis of month-end buying and selling rates.,
"","Comment on 1999: On 15 November 1999, the nakfa was devalued. We recorded the following exchange rates (buying/selling rate).  12 November 1999: EUR 1 = ERN 8.4276 / 8.6383  15 November 1999: EUR 1 = ERN 9.9464 / 10.1558.  Calculated devaluation:15.1% (middle rate).",
"","Comment on 2001: On 10 September 2001, the nakfa was devalued. We recorded the following exchange rates (buying/selling rate).  7 September 2001: EUR 1 = ERN 9.0494 / 9.1382  10 September 2001: EUR 1 = ERN 12.1718 / 12.4900.  Calculated devaluation:26.3% (middle rate).",
