"",BBFN1.M.DE.N.1.A.SE.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SE.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Sweden,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:14,
1982-09,0.092,
1982-10,0.094,
1982-11,0.089,
1982-12,0.084,
1983-01,0.068,
1983-02,0.071,
1983-03,0.090,
1983-04,0.090,
1983-05,0.088,
1983-06,0.088,
1983-07,0.095,
1983-08,0.090,
1983-09,0.089,
1983-10,0.088,
1983-11,0.091,
1983-12,0.081,
1984-01,0.077,
1984-02,0.075,
1984-03,0.075,
1984-04,0.080,
1984-05,0.077,
1984-06,0.078,
1984-07,0.082,
1984-08,0.078,
1984-09,0.079,
1984-10,0.086,
1984-11,0.082,
1984-12,0.079,
1985-01,0.088,
1985-02,0.079,
1985-03,0.076,
1985-04,0.077,
1985-05,0.082,
1985-06,0.084,
1985-07,0.082,
1985-08,0.081,
1985-09,0.079,
1985-10,0.087,
1985-11,0.087,
1985-12,0.096,
1986-01,0.082,
1986-02,0.084,
1986-03,0.082,
1986-04,0.087,
1986-05,0.083,
1986-06,0.081,
1986-07,0.098,
1986-08,0.083,
1986-09,0.077,
1986-10,0.081,
1986-11,0.081,
1986-12,0.082,
1987-01,0.079,
1987-02,0.086,
1987-03,0.086,
1987-04,0.099,
1987-05,0.096,
1987-06,0.097,
1987-07,0.104,
1987-08,0.095,
1987-09,0.121,
1987-10,0.124,
1987-11,0.123,
1987-12,0.103,
1988-01,0.100,
1988-02,0.106,
1988-03,0.118,
1988-04,0.110,
1988-05,0.128,
1988-06,0.133,
1988-07,0.111,
1988-08,0.111,
1988-09,0.133,
1988-10,0.130,
1988-11,0.134,
1988-12,0.137,
1989-01,0.137,
1989-02,0.147,
1989-03,0.148,
1989-04,0.157,
1989-05,0.147,
1989-06,0.153,
1989-07,0.152,
1989-08,0.200,
1989-09,0.240,
1989-10,0.243,
1989-11,0.237,
1989-12,0.227,
1990-01,0.232,
1990-02,0.276,
1990-03,0.287,
1990-04,0.287,
1990-05,0.260,
1990-06,0.272,
1990-07,0.267,
1990-08,0.245,
1990-09,0.259,
1990-10,0.251,
1990-11,0.237,
1990-12,0.230,
1991-01,0.259,
1991-02,0.270,
1991-03,0.269,
1991-04,0.274,
1991-05,0.278,
1991-06,0.235,
1991-07,0.280,
1991-08,0.302,
1991-09,0.281,
1991-10,0.285,
1991-11,0.261,
1991-12,0.253,
1992-01,0.292,
1992-02,0.355,
1992-03,0.410,
1992-04,0.476,
1992-05,0.341,
1992-06,0.373,
1992-07,0.377,
1992-08,0.473,
1992-09,0.465,
1992-10,0.415,
1992-11,0.423,
1992-12,0.640,
1993-01,0.755,
1993-02,0.637,
1993-03,0.619,
1993-04,0.703,
1993-05,0.731,
1993-06,0.703,
1993-07,0.796,
1993-08,0.788,
1993-09,0.658,
1993-10,0.645,
1993-11,0.592,
1993-12,0.598,
1994-01,0.626,
1994-02,0.551,
1994-03,0.598,
1994-04,0.573,
1994-05,0.580,
1994-06,0.590,
1994-07,0.600,
1994-08,0.591,
1994-09,0.588,
1994-10,0.567,
1994-11,0.560,
1994-12,0.577,
1995-01,0.548,
1995-02,0.559,
1995-03,0.650,
1995-04,0.654,
1995-05,0.732,
1995-06,0.749,
1995-07,0.896,
1995-08,0.790,
1995-09,0.748,
1995-10,0.783,
1995-11,0.763,
1995-12,0.661,
1996-01,0.629,
1996-02,0.632,
1996-03,0.633,
1996-04,0.672,
1996-05,0.730,
1996-06,0.729,
1996-07,0.701,
1996-08,0.688,
1996-09,0.676,
1996-10,0.705,
1996-11,1.008,
1996-12,1.115,
1997-01,0.965,
1997-02,0.994,
1997-03,1.012,
1997-04,1.145,
1997-05,1.128,
1997-06,1.035,
1997-07,1.217,
1997-08,1.229,
1997-09,1.071,
1997-10,1.159,
1997-11,1.117,
1997-12,0.972,
1998-01,0.981,
1998-02,0.859,
1998-03,0.770,
1998-04,0.873,
1998-05,0.890,
1998-06,0.917,
1998-07,1.068,
1998-08,1.034,
1998-09,1.017,
1998-10,1.076,
1998-11,1.083,
1998-12,1.784,
1999-01,1.817,
1999-02,1.998,
1999-03,2.177,
1999-04,2.508,
1999-05,2.578,
1999-06,2.224,
1999-07,1.939,
1999-08,2.086,
1999-09,1.997,
1999-10,3.235,
1999-11,3.161,
1999-12,1.771,
2000-01,1.901,
2000-02,2.106,
2000-03,1.983,
2000-04,2.025,
2000-05,2.443,
2000-06,2.437,
2000-07,2.525,
2000-08,2.612,
2000-09,2.729,
2000-10,2.847,
2000-11,2.678,
2000-12,2.241,
2001-01,3.057,
2001-02,3.361,
2001-03,2.877,
2001-04,3.530,
2001-05,3.358,
2001-06,3.000,
2001-07,3.179,
2001-08,3.218,
2001-09,3.371,
2001-10,2.996,
2001-11,3.028,
2001-12,2.941,
2002-01,2.998,
2002-02,2.565,
2002-03,2.888,
2002-04,2.880,
2002-05,2.957,
2002-06,2.970,
2002-07,3.172,
2002-08,3.113,
2002-09,3.095,
2002-10,3.170,
2002-11,3.101,
2002-12,3.561,
2003-01,3.744,
2003-02,4.215,
2003-03,4.442,
2003-04,4.352,
2003-05,4.446,
2003-06,4.298,
2003-07,4.293,
2003-08,4.571,
2003-09,4.624,
2003-10,4.709,
2003-11,5.141,
2003-12,5.600,
2004-01,5.243,
2004-02,5.089,
2004-03,4.719,
2004-04,4.474,
2004-05,4.114,
2004-06,4.616,
2004-07,4.648,
2004-08,4.535,
2004-09,4.486,
2004-10,4.144,
2004-11,4.316,
2004-12,4.237,
2005-01,4.445,
2005-02,4.354,
2005-03,4.692,
2005-04,4.950,
2005-05,3.457,
2005-06,3.509,
2005-07,3.430,
2005-08,3.239,
2005-09,3.687,
2005-10,3.352,
2005-11,3.209,
2005-12,3.721,
2006-01,4.107,
2006-02,5.076,
2006-03,4.675,
2006-04,9.510,
2006-05,4.830,
2006-06,4.781,
2006-07,6.032,
2006-08,6.016,
2006-09,5.664,
2006-10,5.617,
2006-11,6.260,
2006-12,5.971,
2007-01,5.436,
2007-02,5.621,
2007-03,5.513,
2007-04,5.790,
2007-05,4.390,
2007-06,4.932,
2007-07,6.546,
2007-08,6.479,
2007-09,6.464,
2007-10,5.901,
2007-11,6.006,
2007-12,5.166,
2008-01,5.426,
2008-02,5.294,
2008-03,5.099,
2008-04,5.517,
2008-05,5.300,
2008-06,5.367,
2008-07,6.013,
2008-08,6.683,
2008-09,5.728,
2008-10,6.113,
2008-11,6.199,
2008-12,9.916,
2009-01,7.977,
2009-02,6.362,
2009-03,9.290,
2009-04,10.477,
2009-05,10.203,
2009-06,9.801,
2009-07,9.657,
2009-08,10.189,
2009-09,10.320,
2009-10,10.588,
2009-11,11.092,
2009-12,11.004,
2010-01,10.500,
2010-02,11.427,
2010-03,11.555,
2010-04,12.279,
2010-05,12.208,
2010-06,13.145,
2010-07,13.883,
2010-08,14.344,
2010-09,14.111,
2010-10,14.451,
2010-11,14.518,
2010-12,13.157,
2011-01,13.413,
2011-02,13.782,
2011-03,13.411,
2011-04,13.242,
2011-05,12.878,
2011-06,12.753,
2011-07,12.814,
2011-08,13.214,
2011-09,13.913,
2011-10,13.611,
2011-11,13.716,
2011-12,17.813,
2012-01,18.380,
2012-02,17.381,
2012-03,17.123,
2012-04,14.932,
2012-05,15.004,
2012-06,15.028,
2012-07,14.977,
2012-08,14.503,
2012-09,14.561,
2012-10,14.661,
2012-11,14.601,
2012-12,15.172,
2013-01,15.577,
2013-02,15.048,
2013-03,15.061,
2013-04,14.719,
2013-05,14.533,
2013-06,14.810,
2013-07,14.396,
2013-08,16.072,
2013-09,16.685,
2013-10,15.757,
2013-11,16.292,
2013-12,15.873,
2014-01,15.331,
2014-02,14.621,
2014-03,14.465,
2014-04,17.999,
2014-05,14.374,
2014-06,14.656,
2014-07,14.743,
2014-08,15.721,
2014-09,14.965,
2014-10,15.100,
2014-11,15.050,
2014-12,14.609,
