"",BBK01.OEAH58U,BBK01.OEAH58U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:31,
2002-01,5.153,
2002-04,5.272,
2002-07,5.245,
2002-10,5.388,
2003-01,5.360,
2003-04,5.349,
2003-07,5.346,
2003-10,5.427,
2004-01,5.418,
2004-04,5.449,
2004-07,5.377,
2004-10,5.511,
2005-01,5.661,
2005-04,5.631,
2005-07,5.568,
2005-10,5.715,
2006-01,5.708,
2006-04,5.664,
2006-07,5.566,
2006-10,5.648,
2007-01,5.651,
2007-04,5.746,
2007-07,5.829,
2007-10,5.973,
2008-01,5.855,
2008-04,5.896,
2008-07,5.908,
2008-10,6.322,
2009-01,6.572,
2009-04,6.761,
2009-07,7.085,
2009-10,7.325,
2010-01,7.505,
2010-04,7.616,
2010-07,7.739,
2010-10,8.004,
2011-01,7.886,
2011-04,7.891,
2011-07,7.982,
2011-10,8.174,
2012-01,8.213,
2012-04,8.430,
2012-07,8.512,
2012-10,8.838,
2013-01,8.907,
2013-04,9.097,
2013-07,9.138,
2013-10,9.393,
2014-01,9.491,
2014-04,9.700,
2014-07,9.863,
