"",BBK01.OEXI07N,BBK01.OEXI07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:09,
2002-01,35.382,
2002-04,35.389,
2002-07,35.492,
2002-10,38.373,
2003-01,39.692,
2003-04,39.898,
2003-07,40.396,
2003-10,42.468,
2004-01,43.279,
2004-04,43.354,
2004-07,43.164,
2004-10,7.861,
2005-01,8.122,
2005-04,8.028,
2005-07,7.666,
2005-10,7.697,
2006-01,7.657,
2006-04,7.665,
2006-07,7.622,
2006-10,7.859,
2007-01,8.745,
2007-04,9.240,
2007-07,9.701,
2007-10,10.522,
2008-01,10.929,
2008-04,11.031,
2008-07,11.246,
2008-10,13.637,
2009-01,13.565,
2009-04,13.533,
2009-07,14.050,
2009-10,13.389,
2010-01,12.383,
2010-04,12.016,
2010-07,11.673,
2010-10,12.493,
2011-01,13.194,
2011-04,12.943,
2011-07,12.724,
2011-10,12.337,
2012-01,11.758,
2012-04,11.781,
2012-07,11.612,
2012-10,11.020,
2013-01,10.303,
2013-04,9.778,
2013-07,9.646,
2013-10,9.621,
2014-01,9.482,
2014-04,9.266,
2014-07,9.901,
