"",BBK01.OEAC53V,BBK01.OEAC53V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:24,
2002-01,0.214,
2002-04,0.220,
2002-07,0.219,
2002-10,0.183,
2003-01,0.189,
2003-04,0.185,
2003-07,0.193,
2003-10,0.191,
2004-01,0.189,
2004-04,0.208,
2004-07,0.208,
2004-10,0.215,
2005-01,0.222,
2005-04,0.222,
2005-07,0.247,
2005-10,0.261,
2006-01,0.262,
2006-04,0.261,
2006-07,0.261,
2006-10,0.252,
2007-01,0.251,
2007-04,0.243,
2007-07,0.244,
2007-10,0.246,
2008-01,0.247,
2008-04,0.323,
2008-07,0.411,
2008-10,0.415,
2009-01,0.436,
2009-04,0.505,
2009-07,0.502,
2009-10,0.521,
2010-01,0.684,
2010-04,0.641,
2010-07,0.623,
2010-10,0.600,
2011-01,0.658,
2011-04,0.671,
2011-07,0.650,
2011-10,0.583,
2012-01,0.568,
2012-04,0.580,
2012-07,0.593,
2012-10,0.724,
2013-01,0.741,
2013-04,0.729,
2013-07,0.726,
2013-10,0.729,
2014-01,0.737,
2014-04,0.758,
2014-07,0.781,
