"",BBK01.OELM06N,BBK01.OELM06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:00,
2002-01,0.073,
2002-04,0.073,
2002-07,0.069,
2002-10,0.071,
2003-01,0.061,
2003-04,0.054,
2003-07,0.049,
2003-10,0.047,
2004-01,0.044,
2004-04,0.044,
2004-07,0.044,
2004-10,0.051,
2005-01,0.051,
2005-04,0.049,
2005-07,0.048,
2005-10,0.054,
2006-01,0.053,
2006-04,0.053,
2006-07,0.049,
2006-10,0.046,
2007-01,0.047,
2007-04,0.047,
2007-07,0.045,
2007-10,0.040,
2008-01,0.038,
2008-04,0.040,
2008-07,0.040,
2008-10,0.035,
2009-01,0.035,
2009-04,0.030,
2009-07,0.037,
2009-10,0.034,
2010-01,0.032,
2010-04,0.032,
2010-07,0.035,
2010-10,0.033,
2011-01,0.038,
2011-04,0.039,
2011-07,0.019,
2011-10,0.021,
2012-01,0.018,
2012-04,0.020,
2012-07,0.019,
2012-10,0.022,
2013-01,0.022,
2013-04,0.017,
2013-07,0.017,
2013-10,0.015,
2014-01,0.014,
2014-04,0.016,
2014-07,0.016,
