"",BBFI1.Q.N.DE.W1.S12M.S1.K7B.L.FA.O.F4.L._T.N.N,BBFI1.Q.N.DE.W1.S12M.S1.K7B.L.FA.O.F4.L._T.N.N_FLAGS
"",IIP - Other Investment - Loans - Financial corporations other than MFIs - Long-term original maturity (over 1 year) - Liabilities - Revaluations due to price changes other than exchange rate changes,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:04:14,
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
