"",BBFB1.Q.N.DE.PL.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.PL.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:29,
1991-01,0.110,
1991-04,-0.019,
1991-07,0.242,
1991-10,0.387,
1992-01,0.926,
1992-04,0.384,
1992-07,0.377,
1992-10,0.074,
1993-01,0.222,
1993-04,0.407,
1993-07,28.750,
1993-10,314.369,
1994-01,79.738,
1994-04,57.318,
1994-07,29.950,
1994-10,-102.079,
1995-01,-57.348,
1995-04,-47.559,
1995-07,334.793,
1995-10,-2.014,
1996-01,-76.485,
1996-04,59.432,
1996-07,-43.963,
1996-10,-59.308,
1997-01,-55.197,
1997-04,216.730,
1997-07,-252.546,
1997-10,124.874,
1998-01,116.919,
1998-04,106.747,
1998-07,1523.999,
1998-10,374.332,
1999-01,-710.881,
1999-04,-751.449,
1999-07,-217.833,
1999-10,376.209,
2000-01,363.899,
2000-04,-278.624,
2000-07,1.071,
2000-10,-223.516,
2001-01,-341.118,
2001-04,-7.066,
2001-07,-497.817,
2001-10,323.268,
2002-01,51.043,
2002-04,-578.474,
2002-07,-330.194,
2002-10,-165.956,
2003-01,-248.406,
2003-04,-238.126,
2003-07,-114.545,
2003-10,46.909,
2004-01,-3.505,
2004-04,-108.007,
2004-07,122.740,
2004-10,27.753,
2005-01,412.399,
2005-04,104.214,
2005-07,-206.094,
2005-10,517.635,
2006-01,304.563,
2006-04,310.855,
2006-07,129.798,
2006-10,-670.747,
2007-01,-523.215,
2007-04,-373.809,
2007-07,-210.636,
2007-10,-103.706,
2008-01,-1275.985,
2008-04,-78.693,
2008-07,-681.218,
2008-10,-4.410,
2009-01,-251.313,
2009-04,-329.725,
2009-07,-30.679,
2009-10,-513.368,
2010-01,-480.949,
2010-04,-1844.398,
2010-07,-1615.663,
2010-10,-459.415,
2011-01,-1694.880,
2011-04,-1960.792,
2011-07,-3865.097,
2011-10,-2626.788,
2012-01,-332.480,
2012-04,1185.608,
2012-07,1159.023,
2012-10,518.801,
2013-01,865.288,
2013-04,1294.915,
2013-07,1295.334,
2013-10,390.585,
2014-01,-936.162,Provisional value
2014-04,-844.225,Provisional value
2014-07,446.330,Provisional value
2014-10,942.145,Provisional value
