"",BBK01.OEAD38V,BBK01.OEAD38V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:11,
2002-01,0.484,
2002-04,0.460,
2002-07,0.447,
2002-10,0.429,
2003-01,0.415,
2003-04,0.376,
2003-07,0.358,
2003-10,0.360,
2004-01,0.354,
2004-04,0.352,
2004-07,0.322,
2004-10,0.323,
2005-01,0.299,
2005-04,0.313,
2005-07,0.309,
2005-10,0.313,
2006-01,0.309,
2006-04,0.301,
2006-07,0.291,
2006-10,0.314,
2007-01,0.331,
2007-04,0.326,
2007-07,0.322,
2007-10,0.326,
2008-01,0.322,
2008-04,0.306,
2008-07,0.313,
2008-10,0.308,
2009-01,0.332,
2009-04,0.342,
2009-07,0.355,
2009-10,0.341,
2010-01,0.312,
2010-04,0.309,
2010-07,0.306,
2010-10,0.286,
2011-01,0.291,
2011-04,0.288,
2011-07,0.295,
2011-10,0.303,
2012-01,0.324,
2012-04,0.323,
2012-07,0.297,
2012-10,0.303,
2013-01,0.309,
2013-04,0.267,
2013-07,0.267,
2013-10,0.256,
2014-01,0.259,
2014-04,0.241,
2014-07,0.237,
