"",BBK01.OECJ06L,BBK01.OECJ06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:43,
2002-01,0.002,
2002-04,0.002,
2002-07,0.002,
2002-10,0.002,
2003-01,0.146,
2003-04,0.146,
2003-07,0.146,
2003-10,0.146,
2004-01,0.146,
2004-04,0.147,
2004-07,0.147,
2004-10,0.147,
2005-01,0.145,
2005-04,0.144,
2005-07,0.145,
2005-10,0.120,
2006-01,0.121,
2006-04,0.121,
2006-07,0.121,
2006-10,0.099,
2007-01,0.099,
2007-04,0.073,
2007-07,0.073,
2007-10,0.072,
2008-01,-,Nothing exists
2008-04,-,Nothing exists
2008-07,-,Nothing exists
2008-10,0.001,
2009-01,-,Nothing exists
2009-04,-,Nothing exists
2009-07,-,Nothing exists
2009-10,-,Nothing exists
2010-01,-,Nothing exists
2010-04,-,Nothing exists
2010-07,-,Nothing exists
2010-10,-,Nothing exists
2011-01,-,Nothing exists
2011-04,-,Nothing exists
2011-07,-,Nothing exists
2011-10,0.001,
2012-01,0.007,
2012-04,0.037,
2012-07,0.038,
2012-10,0.170,
2013-01,0.184,
2013-04,0.047,
2013-07,0.047,
2013-10,0.043,
2014-01,0.073,
2014-04,0.067,
2014-07,0.110,
