"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.IT.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.IT.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Italy,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:25,
2009-09,43341,
2009-10,44421,
2009-11,44860,
2009-12,46079,
2010-01,46054,
2010-02,45934,
2010-03,46417,
2010-04,44251,
2010-05,43453,
2010-06,42953,
2010-07,45153,
2010-08,45633,
2010-09,46811,
2010-10,48339,
2010-11,45165,
2010-12,44135,
2011-01,45089,
2011-02,46663,
2011-03,47283,
2011-04,48258,
2011-05,47285,
2011-06,45730,
2011-07,41952,
2011-08,39654,
2011-09,36949,
2011-10,36332,
2011-11,33679,
2011-12,35331,
2012-01,37188,
2012-02,39590,
2012-03,39908,
2012-04,39240,
2012-05,38102,
2012-06,38096,
2012-07,37691,
2012-08,38785,
2012-09,40493,
2012-10,42536,
2012-11,46720,
2012-12,48718,
2013-01,51629,
2013-02,50860,
2013-03,51521,
2013-04,54282,
2013-05,53814,
2013-06,52271,
2013-07,53474,
2013-08,53726,
2013-09,54625,
2013-10,55084,
2013-11,54772,
2013-12,54895,
2014-01,57331,
2014-02,58850,
2014-03,60349,
2014-04,61669,
2014-05,62090,
2014-06,61507,
2014-07,62237,
2014-08,63004,
2014-09,63394,
2014-10,63204,
2014-11,64810,
