"",BBK01.OEAI08L,BBK01.OEAI08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:52,
2002-01,35.106,
2002-04,34.204,
2002-07,34.627,
2002-10,36.293,
2003-01,36.794,
2003-04,36.988,
2003-07,37.130,
2003-10,37.732,
2004-01,37.695,
2004-04,37.867,
2004-07,38.096,
2004-10,38.849,
2005-01,42.192,
2005-04,42.172,
2005-07,41.867,
2005-10,42.422,
2006-01,42.250,
2006-04,41.895,
2006-07,41.100,
2006-10,40.446,
2007-01,38.899,
2007-04,37.436,
2007-07,35.530,
2007-10,34.226,
2008-01,32.887,
2008-04,32.193,
2008-07,31.142,
2008-10,31.067,
2009-01,32.050,
2009-04,33.251,
2009-07,35.205,
2009-10,37.169,
2010-01,38.791,
2010-04,37.112,
2010-07,37.977,
2010-10,39.258,
2011-01,39.988,
2011-04,38.197,
2011-07,37.929,
2011-10,37.963,
2012-01,38.332,
2012-04,38.192,
2012-07,38.111,
2012-10,38.303,
2013-01,38.258,
2013-04,38.264,
2013-07,38.297,
2013-10,38.591,
2014-01,37.965,
2014-04,37.322,
2014-07,37.021,
