"",BBK01.OECL01Q,BBK01.OECL01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:22,
2002-01,1.298,
2002-04,1.265,
2002-07,1.246,
2002-10,1.333,
2003-01,1.235,
2003-04,1.232,
2003-07,1.259,
2003-10,1.272,
2004-01,1.227,
2004-04,1.252,
2004-07,1.310,
2004-10,2.684,
2005-01,5.083,
2005-04,5.003,
2005-07,4.941,
2005-10,4.973,
2006-01,5.093,
2006-04,5.024,
2006-07,4.964,
2006-10,5.052,
2007-01,5.131,
2007-04,5.282,
2007-07,5.369,
2007-10,5.618,
2008-01,5.659,
2008-04,5.836,
2008-07,6.109,
2008-10,6.466,
2009-01,6.507,
2009-04,6.722,
2009-07,6.644,
2009-10,6.654,
2010-01,6.626,
2010-04,6.592,
2010-07,6.585,
2010-10,6.612,
2011-01,6.492,
2011-04,6.428,
2011-07,6.415,
2011-10,6.449,
2012-01,6.642,
2012-04,6.577,
2012-07,6.588,
2012-10,6.650,
2013-01,6.599,
2013-04,6.627,
2013-07,6.529,
2013-10,6.570,
2014-01,6.549,
2014-04,6.556,
2014-07,6.642,
