"",BBDE1.M.DE.Y.FGA1.P2XF00000.BA.V.ABA.A,BBDE1.M.DE.Y.FGA1.P2XF00000.BA.V.ABA.A_FLAGS
"","Gross wages and salaries / At current prices, flows / Germany / Main construction industry / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 09:28:33,
1991-01,2.07,
1991-02,1.79,
1991-03,2.12,
1991-04,2.17,
1991-05,2.16,
1991-06,2.18,
1991-07,2.17,
1991-08,2.16,
1991-09,2.21,
1991-10,2.26,
1991-11,2.30,
1991-12,2.22,
1992-01,2.24,
1992-02,2.36,
1992-03,2.41,
1992-04,2.31,
1992-05,2.45,
1992-06,2.43,
1992-07,2.45,
1992-08,2.42,
1992-09,2.46,
1992-10,2.45,
1992-11,2.63,
1992-12,2.52,
1993-01,2.45,
1993-02,2.48,
1993-03,2.56,
1993-04,2.58,
1993-05,2.59,
1993-06,2.61,
1993-07,2.61,
1993-08,2.61,
1993-09,2.64,
1993-10,2.65,
1993-11,2.73,
1993-12,2.55,
1994-01,2.77,
1994-02,2.66,
1994-03,2.90,
1994-04,2.74,
1994-05,2.77,
1994-06,2.78,
1994-07,2.76,
1994-08,2.79,
1994-09,2.80,
1994-10,2.83,
1994-11,3.04,
1994-12,2.94,
1995-01,2.74,
1995-02,3.04,
1995-03,2.89,
1995-04,2.82,
1995-05,2.87,
1995-06,2.81,
1995-07,2.84,
1995-08,2.83,
1995-09,2.77,
1995-10,2.81,
1995-11,2.97,
1995-12,2.73,
1996-01,2.72,
1996-02,2.54,
1996-03,2.48,
1996-04,2.63,
1996-05,2.68,
1996-06,2.69,
1996-07,2.70,
1996-08,2.67,
1996-09,2.65,
1996-10,2.62,
1996-11,2.67,
1996-12,2.64,
1997-01,2.43,
1997-02,2.53,
1997-03,2.55,
1997-04,2.50,
1997-05,2.50,
1997-06,2.50,
1997-07,2.49,
1997-08,2.48,
1997-09,2.46,
1997-10,2.43,
1997-11,2.44,
1997-12,2.44,
1998-01,2.44,
1998-02,2.45,
1998-03,2.40,
1998-04,2.41,
1998-05,2.34,
1998-06,2.33,
1998-07,2.31,
1998-08,2.33,
1998-09,2.31,
1998-10,2.29,
1998-11,2.22,
1998-12,2.26,
1999-01,2.34,
1999-02,2.29,
1999-03,2.31,
1999-04,2.37,
1999-05,2.31,
1999-06,2.29,
1999-07,2.28,
1999-08,2.28,
1999-09,2.28,
1999-10,2.28,
1999-11,2.15,
1999-12,2.25,
2000-01,2.30,
2000-02,2.35,
2000-03,2.26,
2000-04,2.24,
2000-05,2.22,
2000-06,2.19,
2000-07,2.16,
2000-08,2.16,
2000-09,2.13,
2000-10,2.13,
2000-11,2.08,
2000-12,2.12,
2001-01,2.10,
2001-02,2.15,
2001-03,2.01,
2001-04,2.02,
2001-05,2.04,
2001-06,2.00,
2001-07,2.00,
2001-08,1.98,
2001-09,1.95,
2001-10,1.98,
2001-11,1.94,
2001-12,1.94,
2002-01,1.93,
2002-02,1.99,
2002-03,1.94,
2002-04,1.92,
2002-05,1.88,
2002-06,1.86,
2002-07,1.88,
2002-08,1.86,
2002-09,1.85,
2002-10,1.85,
2002-11,1.82,
2002-12,1.80,
2003-01,1.75,
2003-02,1.70,
2003-03,1.81,
2003-04,1.80,
2003-05,1.78,
2003-06,1.78,
2003-07,1.76,
2003-08,1.74,
2003-09,1.74,
2003-10,1.73,
2003-11,1.70,
2003-12,1.71,
2004-01,1.68,
2004-02,1.70,
2004-03,1.69,
2004-04,1.67,
2004-05,1.67,
2004-06,1.68,
2004-07,1.64,
2004-08,1.65,
2004-09,1.63,
2004-10,1.61,
2004-11,1.56,
2004-12,1.60,
2005-01,1.58,
2005-02,1.50,
2005-03,1.44,
2005-04,1.52,
2005-05,1.53,
2005-06,1.54,
2005-07,1.51,
2005-08,1.53,
2005-09,1.52,
2005-10,1.52,
2005-11,1.49,
2005-12,1.53,
2006-01,1.47,
2006-02,1.43,
2006-03,1.38,
2006-04,1.51,
2006-05,1.55,
2006-06,1.52,
2006-07,1.53,
2006-08,1.53,
2006-09,1.53,
2006-10,1.54,
2006-11,1.53,
2006-12,1.56,
2007-01,1.58,
2007-02,1.59,
2007-03,1.54,
2007-04,1.53,
2007-05,1.53,
2007-06,1.50,
2007-07,1.54,
