"",BBK01.OEAD35U,BBK01.OEAD35U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:49,
2002-01,0.241,
2002-04,0.241,
2002-07,0.229,
2002-10,0.226,
2003-01,0.217,
2003-04,0.219,
2003-07,0.215,
2003-10,0.226,
2004-01,0.220,
2004-04,0.220,
2004-07,0.212,
2004-10,0.200,
2005-01,0.191,
2005-04,0.187,
2005-07,0.180,
2005-10,0.180,
2006-01,0.177,
2006-04,0.174,
2006-07,0.180,
2006-10,0.181,
2007-01,0.178,
2007-04,0.178,
2007-07,0.176,
2007-10,0.187,
2008-01,0.187,
2008-04,0.193,
2008-07,0.204,
2008-10,0.211,
2009-01,0.202,
2009-04,0.214,
2009-07,0.212,
2009-10,0.201,
2010-01,0.221,
2010-04,0.224,
2010-07,0.227,
2010-10,0.232,
2011-01,0.268,
2011-04,0.260,
2011-07,0.255,
2011-10,0.263,
2012-01,0.265,
2012-04,0.264,
2012-07,0.269,
2012-10,0.270,
2013-01,0.267,
2013-04,0.258,
2013-07,0.257,
2013-10,0.260,
2014-01,0.260,
2014-04,0.260,
2014-07,0.230,
