"",BBK01.OEAH97L,BBK01.OEAH97L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:37,
2002-01,0.284,
2002-04,0.288,
2002-07,0.299,
2002-10,0.303,
2003-01,0.289,
2003-04,0.278,
2003-07,0.264,
2003-10,0.261,
2004-01,0.242,
2004-04,0.232,
2004-07,0.224,
2004-10,0.226,
2005-01,0.220,
2005-04,0.209,
2005-07,0.203,
2005-10,0.204,
2006-01,0.204,
2006-04,0.242,
2006-07,0.251,
2006-10,0.245,
2007-01,0.260,
2007-04,0.268,
2007-07,0.272,
2007-10,0.263,
2008-01,0.259,
2008-04,0.252,
2008-07,0.259,
2008-10,0.307,
2009-01,0.311,
2009-04,0.304,
2009-07,0.311,
2009-10,0.302,
2010-01,0.295,
2010-04,0.273,
2010-07,0.260,
2010-10,0.240,
2011-01,0.228,
2011-04,0.237,
2011-07,0.244,
2011-10,0.259,
2012-01,0.274,
2012-04,0.282,
2012-07,0.275,
2012-10,0.257,
2013-01,0.243,
2013-04,0.230,
2013-07,0.214,
2013-10,0.211,
2014-01,0.206,
2014-04,0.201,
2014-07,0.202,
