"",BBK01.CEBB10,BBK01.CEBB10_FLAGS
"",Long-term debt securities debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:46,
1991-01,32.7,
1991-04,34.5,
1991-07,36.2,
1991-10,32.7,
1992-01,40.9,
1992-04,43.1,
1992-07,49.2,
1992-10,52.6,
1993-01,74.6,
1993-04,86.1,
1993-07,94.9,
1993-10,109.5,
1994-01,95.5,
1994-04,98.2,
1994-07,106.2,
1994-10,129.9,
1995-01,53.1,
1995-04,54.8,
1995-07,55.5,
1995-10,53.8,
1996-01,51.6,
1996-04,50.9,
1996-07,49.8,
1996-10,49.2,
1997-01,48.1,
1997-04,48.0,
1997-07,46.5,
1997-10,44.2,
1998-01,45.3,
1998-04,44.0,
1998-07,46.0,
1998-10,42.8,
1999-01,40.4,
1999-04,38.8,
1999-07,37.3,
1999-10,35.8,
2000-01,35.5,
2000-04,36.0,
2000-07,37.5,
2000-10,38.4,
2001-01,39.5,
2001-04,39.1,
2001-07,41.5,
2001-10,42.1,
2002-01,42.1,
2002-04,49.5,
2002-07,52.5,
2002-10,50.7,
2003-01,59.3,
2003-04,68.2,
2003-07,68.8,
2003-10,67.6,
2004-01,67.6,
2004-04,65.2,
2004-07,75.8,
2004-10,79.4,
2005-01,80.9,
2005-04,84.2,
2005-07,88.2,
2005-10,89.6,
2006-01,89.7,
2006-04,92.7,
2006-07,93.6,
2006-10,91.0,
2007-01,88.9,
2007-04,83.9,
2007-07,84.2,
2007-10,82.1,
2008-01,82.0,
2008-04,79.2,
2008-07,81.7,
2008-10,91.1,
2009-01,95.8,
2009-04,101.4,
2009-07,109.6,
2009-10,115.5,
2010-01,123.7,
2010-04,125.9,
2010-07,125.8,
2010-10,121.7,
2011-01,86.7,
2011-04,88.0,
2011-07,95.5,
2011-10,94.6,
2012-01,102.9,
2012-04,100.8,
2012-07,108.9,
2012-10,116.3,
2013-01,119.8,
2013-04,122.4,
2013-07,119.9,
2013-10,125.4,
2014-01,131.8,
