"",BBK01.CEBOQ3,BBK01.CEBOQ3_FLAGS
"",Other deposits debtor: All sectors                    creditor:Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:53,
1991-01,189.1,
1991-04,175.5,
1991-07,168.9,
1991-10,187.2,
1992-01,179.1,
1992-04,162.3,
1992-07,154.3,
1992-10,177.3,
1993-01,177.6,
1993-04,186.1,
1993-07,190.7,
1993-10,229.6,
1994-01,201.3,
1994-04,185.7,
1994-07,185.0,
1994-10,213.9,
1995-01,197.3,
1995-04,215.1,
1995-07,225.2,
1995-10,231.9,
1996-01,223.7,
1996-04,224.0,
1996-07,216.6,
1996-10,248.3,
1997-01,247.4,
1997-04,251.4,
1997-07,257.9,
1997-10,287.3,
1998-01,274.2,
1998-04,281.2,
1998-07,266.9,
1998-10,315.0,
1999-01,290.9,
1999-04,293.2,
1999-07,312.1,
1999-10,331.8,
2000-01,326.3,
2000-04,330.2,
2000-07,360.6,
2000-10,369.7,
2001-01,381.3,
2001-04,370.6,
2001-07,396.3,
2001-10,426.9,
2002-01,423.2,
2002-04,423.9,
2002-07,471.0,
2002-10,499.1,
2003-01,523.2,
2003-04,554.9,
2003-07,526.1,
2003-10,551.1,
2004-01,558.2,
2004-04,584.2,
2004-07,581.3,
2004-10,659.3,
2005-01,660.6,
2005-04,692.6,
2005-07,725.9,
2005-10,743.6,
2006-01,778.8,
2006-04,814.4,
2006-07,808.0,
2006-10,833.8,
2007-01,827.7,
2007-04,864.1,
2007-07,907.8,
2007-10,941.1,
2008-01,906.5,
2008-04,906.5,
2008-07,957.4,
2008-10,917.6,
2009-01,852.6,
2009-04,835.4,
2009-07,769.3,
2009-10,802.8,
2010-01,769.5,
2010-04,792.1,
2010-07,729.0,
2010-10,668.0,
2011-01,613.4,
2011-04,606.3,
2011-07,619.3,
2011-10,648.7,
2012-01,604.0,
2012-04,574.3,
2012-07,561.0,
2012-10,549.5,
2013-01,528.2,
2013-04,519.5,
2013-07,575.1,
2013-10,578.6,
2014-01,615.5,
