"",BBK01.OECL03P,BBK01.OECL03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:34,
2002-01,0.057,
2002-04,0.049,
2002-07,0.047,
2002-10,0.046,
2003-01,0.032,
2003-04,0.029,
2003-07,0.035,
2003-10,0.029,
2004-01,0.027,
2004-04,0.030,
2004-07,0.028,
2004-10,0.031,
2005-01,0.046,
2005-04,0.046,
2005-07,0.045,
2005-10,0.046,
2006-01,0.045,
2006-04,0.047,
2006-07,0.051,
2006-10,0.061,
2007-01,0.067,
2007-04,0.082,
2007-07,0.115,
2007-10,0.140,
2008-01,0.174,
2008-04,0.190,
2008-07,0.255,
2008-10,0.276,
2009-01,0.231,
2009-04,0.210,
2009-07,0.173,
2009-10,0.158,
2010-01,0.125,
2010-04,0.092,
2010-07,0.057,
2010-10,0.051,
2011-01,0.053,
2011-04,0.059,
2011-07,0.053,
2011-10,0.055,
2012-01,0.056,
2012-04,0.047,
2012-07,0.047,
2012-10,0.039,
2013-01,0.038,
2013-04,0.048,
2013-07,0.041,
2013-10,0.033,
2014-01,0.038,
2014-04,0.023,
2014-07,0.015,
