"",BBK01.OEAE25I,BBK01.OEAE25I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:27,
2002-01,0.082,
2002-04,0.087,
2002-07,0.084,
2002-10,0.086,
2003-01,0.089,
2003-04,0.098,
2003-07,0.089,
2003-10,0.081,
2004-01,0.080,
2004-04,0.074,
2004-07,0.104,
2004-10,0.101,
2005-01,0.108,
2005-04,0.111,
2005-07,0.110,
2005-10,0.074,
2006-01,0.077,
2006-04,0.077,
2006-07,0.077,
2006-10,0.084,
2007-01,0.082,
2007-04,0.081,
2007-07,0.077,
2007-10,0.059,
2008-01,0.057,
2008-04,0.057,
2008-07,0.058,
2008-10,0.058,
2009-01,0.055,
2009-04,0.061,
2009-07,0.069,
2009-10,0.065,
2010-01,0.070,
2010-04,0.073,
2010-07,0.079,
2010-10,0.080,
2011-01,0.096,
2011-04,0.098,
2011-07,0.092,
2011-10,0.079,
2012-01,0.086,
2012-04,0.143,
2012-07,0.144,
2012-10,0.153,
2013-01,0.157,
2013-04,0.163,
2013-07,0.165,
2013-10,0.167,
2014-01,0.156,
2014-04,0.160,
2014-07,0.167,
