"",BBK01.OEAA53M,BBK01.OEAA53M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:59,
2002-01,11.225,
2002-04,9.710,
2002-07,9.946,
2002-10,9.942,
2003-01,9.690,
2003-04,10.620,
2003-07,10.847,
2003-10,10.622,
2004-01,10.824,
2004-04,10.835,
2004-07,10.857,
2004-10,10.385,
2005-01,10.593,
2005-04,11.300,
2005-07,11.261,
2005-10,11.567,
2006-01,11.594,
2006-04,11.884,
2006-07,11.882,
2006-10,13.478,
2007-01,13.976,
2007-04,14.426,
2007-07,14.091,
2007-10,14.647,
2008-01,14.845,
2008-04,16.472,
2008-07,18.350,
2008-10,18.791,
2009-01,19.698,
2009-04,19.402,
2009-07,19.103,
2009-10,19.276,
2010-01,20.169,
2010-04,20.521,
2010-07,18.952,
2010-10,18.995,
2011-01,17.949,
2011-04,17.667,
2011-07,18.513,
2011-10,18.982,
2012-01,19.500,
2012-04,20.088,
2012-07,19.894,
2012-10,19.862,
2013-01,19.849,
2013-04,19.206,
2013-07,18.343,
2013-10,17.952,
2014-01,17.986,
2014-04,18.325,
2014-07,19.000,
