"",BBK01.OEXB22K,BBK01.OEXB22K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:35,
2002-01,0.594,
2002-04,0.496,
2002-07,0.002,
2002-10,0.021,
2003-01,0.043,
2003-04,0.078,
2003-07,0.056,
2003-10,0.376,
2004-01,0.067,
2004-04,0.077,
2004-07,0.067,
2004-10,0.061,
2005-01,0.044,
2005-04,0.046,
2005-07,0.045,
2005-10,0.001,
2006-01,0.102,
2006-04,-,Nothing exists
2006-07,0.001,
2006-10,0.002,
2007-01,0.002,
2007-04,-,Nothing exists
2007-07,0.052,
2007-10,0.150,
2008-01,0.050,
2008-04,0.100,
2008-07,0.150,
2008-10,0.728,
2009-01,1.627,
2009-04,1.414,
2009-07,1.736,
2009-10,1.850,
2010-01,2.005,
2010-04,2.204,
2010-07,0.341,
2010-10,0.479,
2011-01,0.028,
2011-04,0.001,
2011-07,0.050,
2011-10,0.050,
2012-01,0.050,
2012-04,0.100,
2012-07,0.135,
2012-10,0.060,
2013-01,0.105,
2013-04,0.101,
2013-07,0.090,
2013-10,0.084,
2014-01,0.112,
2014-04,0.152,
2014-07,0.152,
