"",BBK01.OEBB18K,BBK01.OEBB18K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:14,
2002-01,1.330,
2002-04,1.326,
2002-07,1.357,
2002-10,1.137,
2003-01,1.073,
2003-04,1.089,
2003-07,1.045,
2003-10,1.151,
2004-01,0.920,
2004-04,0.934,
2004-07,0.882,
2004-10,1.614,
2005-01,1.082,
2005-04,1.091,
2005-07,1.057,
2005-10,1.082,
2006-01,1.030,
2006-04,1.056,
2006-07,1.073,
2006-10,1.109,
2007-01,1.102,
2007-04,1.027,
2007-07,1.041,
2007-10,1.319,
2008-01,1.281,
2008-04,1.103,
2008-07,1.030,
2008-10,1.011,
2009-01,1.030,
2009-04,1.006,
2009-07,1.017,
2009-10,1.140,
2010-01,1.172,
2010-04,2.314,
2010-07,2.232,
2010-10,2.409,
2011-01,2.428,
2011-04,2.584,
2011-07,2.462,
2011-10,2.436,
2012-01,2.452,
2012-04,2.473,
2012-07,2.335,
2012-10,2.408,
2013-01,2.581,
2013-04,2.448,
2013-07,2.461,
2013-10,2.586,
2014-01,2.633,
2014-04,2.674,
2014-07,2.710,
