"",BBSF2.M.1.S.00000.SON01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.SON01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Special investors funds / Other funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:19,
2009-09,6,
2009-10,7,
2009-11,11,
2009-12,32,
2010-01,119,
2010-02,119,
2010-03,120,
2010-04,120,
2010-05,115,
2010-06,120,
2010-07,122,
2010-08,123,
2010-09,136,
2010-10,136,
2010-11,136,
2010-12,34,
2011-01,42,
2011-02,42,
2011-03,42,
2011-04,89,
2011-05,88,
2011-06,109,
2011-07,85,
2011-08,80,
2011-09,90,
2011-10,117,
2011-11,110,
2011-12,134,
2012-01,100,
2012-02,94,
2012-03,87,
2012-04,90,
2012-05,85,
2012-06,96,
2012-07,83,
2012-08,101,
2012-09,64,
2012-10,50,
2012-11,45,
2012-12,39,
2013-01,47,
2013-02,35,
2013-03,45,
2013-04,39,
2013-05,33,
2013-06,47,
2013-07,42,
2013-08,27,
2013-09,24,
2013-10,24,
2013-11,29,
2013-12,18,
2014-01,25,
2014-02,65,
2014-03,75,
2014-04,74,
2014-05,69,
2014-06,69,
2014-07,81,
2014-08,52,
2014-09,26,
2014-10,43,
2014-11,43,
