"",BBFB1.Q.N.DE.O1.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:41,
1991-01,41.608,
1991-04,108.503,
1991-07,-185.183,
1991-10,4.767,
1992-01,90.965,
1992-04,11.106,
1992-07,41.179,
1992-10,129.391,
1993-01,-144.465,
1993-04,218.467,
1993-07,-24.751,
1993-10,-71.439,
1994-01,194.782,
1994-04,-117.334,
1994-07,64.052,
1994-10,-74.870,
1995-01,142.546,
1995-04,-11.749,
1995-07,-131.885,
1995-10,105.609,
1996-01,6.863,
1996-04,24.142,
1996-07,191.119,
1996-10,-72.297,
1997-01,-103.338,
1997-04,94.224,
1997-07,-50.843,
1997-10,49.165,
1998-01,-8.237,
1998-04,107.702,
1998-07,234.129,
1998-10,88.385,
1999-01,117.901,
1999-04,744.258,
1999-07,144.332,
1999-10,65.070,
2000-01,-449.467,
2000-04,190.726,
2000-07,-238.023,
2000-10,156.754,
2001-01,-440.100,
2001-04,-326.202,
2001-07,-223.778,
2001-10,561.500,
2002-01,188.227,
2002-04,-801.476,
2002-07,576.845,
2002-10,169.949,
2003-01,409.999,
2003-04,177.009,
2003-07,-98.909,
2003-10,-305.973,
2004-01,-43.237,
2004-04,1655.082,
2004-07,-1368.927,
2004-10,11.915,
2005-01,-796.576,
2005-04,1070.683,
2005-07,189.525,
2005-10,-102.256,
2006-01,174.740,
2006-04,332.983,
2006-07,-90.277,
2006-10,47.936,
2007-01,2068.222,
2007-04,1245.989,
2007-07,-1335.928,
2007-10,-627.398,
2008-01,1092.411,
2008-04,-617.560,
2008-07,-35.980,
2008-10,375.821,
2009-01,537.299,
2009-04,530.928,
2009-07,-1249.419,
2009-10,-95.163,
2010-01,-66.408,
2010-04,-27.321,
2010-07,-421.904,
2010-10,-32.658,
2011-01,169.600,
2011-04,-5.609,
2011-07,142.204,
2011-10,947.726,
2012-01,-1050.492,
2012-04,592.673,
2012-07,150.442,
2012-10,890.763,
2013-01,-1049.476,
2013-04,-276.171,
2013-07,-1828.110,
2013-10,-210.177,
2014-01,150.257,Provisional value
2014-04,122.818,Provisional value
2014-07,-87.279,Provisional value
2014-10,36.228,Provisional value
