"",BBK01.WXI074,BBK01.WXI074_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:44,
2009-09,5437,
2009-10,5346,
2009-11,5271,
2009-12,5455,
2010-01,5530,
2010-02,5454,
2010-03,5713,
2010-04,6390,
2010-05,7061,
2010-06,7182,
2010-07,7391,
2010-08,7694,
2010-09,7664,
2010-10,7368,
2010-11,7266,
2010-12,7141,
2011-01,7378,
2011-02,7333,
2011-03,7182,
2011-04,7046,
2011-05,7496,
2011-06,7427,
2011-07,7811,
2011-08,8004,
2011-09,7562,
2011-10,7576,
2011-11,8533,
2011-12,9292,
2012-01,10460,
2012-02,11796,
2012-03,12584,
2012-04,13759,
2012-05,14893,
2012-06,15191,
2012-07,15980,
2012-08,16185,
2012-09,15992,
2012-10,16247,
2012-11,16280,
2012-12,16312,
2013-01,15279,
2013-02,15380,
2013-03,15354,
2013-04,15625,
2013-05,15520,
2013-06,15426,
2013-07,15146,
2013-08,14968,
2013-09,15794,
2013-10,15908,
2013-11,4553,
2013-12,4464,
2014-01,4487,
2014-02,6172,
2014-03,6551,
2014-04,6627,
2014-05,6892,
2014-06,4826,
2014-07,4900,
2014-08,5118,
2014-09,5139,
2014-10,5188,
2014-11,5487,
