"",BBK01.OEAD39Q,BBK01.OEAD39Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:28,
2002-01,0.073,
2002-04,0.080,
2002-07,0.074,
2002-10,0.080,
2003-01,0.080,
2003-04,0.103,
2003-07,0.103,
2003-10,0.099,
2004-01,0.098,
2004-04,0.079,
2004-07,0.076,
2004-10,0.076,
2005-01,0.073,
2005-04,0.071,
2005-07,0.067,
2005-10,0.066,
2006-01,0.067,
2006-04,0.064,
2006-07,0.060,
2006-10,0.131,
2007-01,0.129,
2007-04,0.089,
2007-07,0.083,
2007-10,0.056,
2008-01,0.045,
2008-04,0.045,
2008-07,0.044,
2008-10,0.043,
2009-01,0.047,
2009-04,0.046,
2009-07,0.043,
2009-10,0.041,
2010-01,0.041,
2010-04,0.040,
2010-07,0.042,
2010-10,0.041,
2011-01,0.041,
2011-04,0.040,
2011-07,0.041,
2011-10,0.040,
2012-01,0.039,
2012-04,0.033,
2012-07,0.031,
2012-10,0.028,
2013-01,0.028,
2013-04,0.030,
2013-07,0.029,
2013-10,0.030,
2014-01,0.030,
2014-04,0.024,
2014-07,0.023,
