"",BBSF2.M.1.S.I0002.TOT01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.TOT01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Number / Pension fund institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:12,
2004-01,3,
2004-02,43,
2004-03,72,
2004-04,146,
2004-05,146,
2004-06,163,
2004-07,172,
2004-08,174,
2004-09,174,
2004-10,176,
2004-11,177,
2004-12,165,
2005-01,175,
2005-02,175,
2005-03,178,
2005-04,184,
2005-05,197,
2005-06,201,
2005-07,209,
2005-08,244,
2005-09,269,
2005-10,491,
2005-11,489,
2005-12,479,
2006-01,481,
2006-02,478,
2006-03,482,
2006-04,484,
2006-05,479,
2006-06,478,
2006-07,468,
2006-08,470,
2006-09,472,
2006-10,471,
2006-11,473,
2006-12,471,
2007-01,469,
2007-02,477,
2007-03,477,
2007-04,483,
2007-05,485,
2007-06,486,
2007-07,485,
2007-08,483,
2007-09,483,
2007-10,477,
2007-11,465,
2007-12,460,
2008-01,464,
2008-02,460,
2008-03,462,
2008-04,462,
2008-05,460,
2008-06,460,
2008-07,460,
2008-08,461,
2008-09,453,
2008-10,452,
2008-11,483,
2008-12,485,
2009-01,481,
2009-02,477,
2009-03,483,
2009-04,482,
2009-05,471,
2009-06,468,
2009-07,464,
2009-08,470,
2009-09,465,
2009-10,475,
2009-11,475,
2009-12,481,
2010-01,480,
2010-02,479,
2010-03,496,
2010-04,495,
2010-05,499,
2010-06,493,
2010-07,498,
2010-08,500,
2010-09,499,
2010-10,495,
2010-11,492,
2010-12,496,
2011-01,494,
2011-02,500,
2011-03,502,
2011-04,506,
2011-05,505,
2011-06,507,
2011-07,509,
2011-08,509,
2011-09,509,
2011-10,516,
2011-11,512,
2011-12,499,
2012-01,502,
2012-02,499,
2012-03,508,
2012-04,513,
2012-05,515,
2012-06,523,
2012-07,524,
2012-08,531,
2012-09,533,
2012-10,546,
2012-11,555,
2012-12,571,
2013-01,567,
2013-02,565,
2013-03,565,
2013-04,567,
2013-05,564,
2013-06,567,
2013-07,609,
2013-08,609,
2013-09,610,
2013-10,603,
2013-11,604,
2013-12,608,
2014-01,607,
2014-02,608,
2014-03,607,
2014-04,601,
2014-05,600,
2014-06,607,
2014-07,613,
2014-08,615,
2014-09,615,
2014-10,617,
2014-11,623,
