"",BBK01.OEAH47I,BBK01.OEAH47I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:37,
2002-01,3.433,
2002-04,3.320,
2002-07,3.311,
2002-10,3.233,
2003-01,3.222,
2003-04,3.049,
2003-07,3.025,
2003-10,2.294,
2004-01,2.287,
2004-04,1.836,
2004-07,1.832,
2004-10,1.191,
2005-01,1.150,
2005-04,0.085,
2005-07,0.088,
2005-10,0.065,
2006-01,0.065,
2006-04,0.050,
2006-07,0.055,
2006-10,0.063,
2007-01,0.058,
2007-04,0.055,
2007-07,0.054,
2007-10,0.071,
2008-01,0.077,
2008-04,0.080,
2008-07,0.095,
2008-10,0.099,
2009-01,0.106,
2009-04,0.111,
2009-07,0.107,
2009-10,0.103,
2010-01,0.077,
2010-04,0.074,
2010-07,0.073,
2010-10,0.081,
2011-01,0.126,
2011-04,0.158,
2011-07,0.171,
2011-10,0.207,
2012-01,0.286,
2012-04,0.300,
2012-07,0.335,
2012-10,0.302,
2013-01,0.341,
2013-04,0.312,
2013-07,0.314,
2013-10,0.307,
2014-01,0.257,
2014-04,0.251,
2014-07,0.247,
